query_index,ineffective_index,plaintext,ciphertext
1,1,21a2be4a9ff6b02c8989142347031794,4397fe4c1f653bb3b45b04874166dc3c
6,2,bd3c02a299c7f4d2b9517ba379cb98df,03a2c1ee04d96f20fbfa1357e8ac0280
7,3,05394f5285586f3976b2a36c38561daf,123ccffbe9bad24d3e1e8003510fdd00
11,4,da47bd20e5bf3bce4f7cbbe0e8c8a6cb,f259db58052eb2e13fbbc74b4b2ad0bf
13,5,5e0ae1e0f6d149082fe264d090b55476,b0cc40559bd0450c96cbb7af7fe98ae1
14,6,f23adf0795dad116e430ea8910ef3af6,95ae3a4857425ae0bca84c8cfdec1cdc
15,7,2b526ccc7366de9a7c08374e27bc754c,a10d83e3606694dcbfd5fcdcaadba847
20,8,7d8ac24210e43484517332642d370a77,113361ce30c539f3ef601b25411baa0d
22,9,1616a5620a7f89a93a2b3fc550425da3,d1ee4fd8eed6e95c81d993c12ec9d9b7
23,10,3ec3b9942a547240abe84724a6a75431,b7cdadc4a8a77fe58c558a0c27dfd5f4
27,11,ab467f1e7c14f712a0b4dd3e7866dfde,fcbcb0908d6e13a80db5b44e74633de1
29,12,66b5ef1f60fe41bbf119bfc7e402375c,fda8f78b9c886e2b7b86a12d04549f45
30,13,c58e4a3d0d1d7d8ccbdc62ba969977ee,59799fe12e46b37dfae39cc0e012d2b4
31,14,4b8430f55bb1cc809c95574ddce756df,365024461d02dcdd86fd704f23269892
33,15,4456a4856334097073dd20158ccc4a8f,6a174526d0ba5d3c049d00316afaaf4b
34,16,64840fae619da5755c738b4b5f0a60d9,737ed1eca7d9c1c8121877afc522cfdb
35,17,584077c2d470ee904133619a4b6c5f8a,79ce3f506fd9e7c0f0af80aba374d981
39,18,ed361fc02e1d3148ef13e3925bdba553,6b9ac995078540a231a5c30b991b05bd
40,19,708bab8a60cbb8d3bf0cea22d02c020f,f4489fa476837bcc4f0aeb38f1caf3ac
45,20,d9e71f74638debbd30c4ffed0acb235d,35b8cffa959652ca2eaa438a4c1c2407
48,21,80e2ce4dfa90d253970900786470ce00,ebba757ab72c1c01f23c5b7e3164c5c9
50,22,ee3fdfe0787689d546712fc79a9d4274,4cc2b4f8b73c39f98b436571cc3f5fec
51,23,bacb499176ae30972d61d66f631aec10,3af11adc110c74b47050884e0244db9d
55,24,ae3cd3fbee71e695a98f4ab6acdcbed5,dd491b6bf60d8e82d773b4adac3201c2
62,25,fe39d0780c115117b5c0086ec7093f10,bcb06ba1d5ae550728d8cda717b9d38a
65,26,726e0dd48347b33d6158a21fe449fdb2,23a24e0bcb9c1116c6aae4e1045fcdd1
70,27,536c28c2313e0e3c94c9a5ba77c98b53,ab1ba778897bc8bcee8471cff26fa38e
73,28,b8206b45e763845bbdca131a97ba6955,9eec5f5a6f04804058f9fcd96ac4dd5c
76,29,8dd3076e5d6c6f05fc9e06c56ecc6782,68a1bb9e794e917717f2be15b3a468dd
77,30,df5218f21e0c27dfa8745bffa3cff375,c850a30425d4a8b0ce63ffabbc204588
82,31,ef35b56c509a41a02a1e2dc8b4781675,739351ca63546fb0d5cadd9a0878ec02
93,32,0b74689a70de2bdfcc32f9206770cded,9e9c0c43cb62d73d3003c194efdd16fc
94,33,4e6dee01c384a861eff2f39042080881,b470c042a99dc13f458c2e99d2b69848
98,34,503180a7cc08d62b1c58213d72b5e4ca,6c0956656f6aee5828b65a9e4707248a
99,35,39a2857ab8bb708eae29b173b82380d9,619c0969ede5d1d5f08da3ebb628aca3
100,36,2039e5cf4f9eb6775f9b3f9787e30805,4ab79098d6d412802a5056214c5c7cd5
102,37,041efe98e9a8e736d98c9cb32b548007,bfe9da40d5723f5b017645d82d0e13ef
106,38,66f4702e9b190405e56e6d52c6e2b0a0,be54b6f215617a670bd89742a96faf96
107,39,a9c8e0a018ef3bfb6b56d936521a7b19,cd8eaa707c3ad39cc37c31c0fa65e979
108,40,df5b0a7345394eb175ea776890d6b7b9,aa4d9801dc56b2e1eb7fb4609fda7869
109,41,c11fe68d6ba418f641122f7a4989b83f,8e1cc18f2e10ba58f5b332b812ea5584
114,42,6e45c98324492a6b6c0328e129ee6ca7,67d8b68e54bce45060bf1cc4e3169e25
118,43,709da92a012a8bc60f7e39c17d677dea,b2d6aed2047d97544ed06d10cf325707
