delta,trials,full_key_success_rate,word_success_rate,mean_minimum_gap
0x0,7,1.000000000,1.000000000,282.303571
0x1,7,1.000000000,1.000000000,276.142857
0x2,5,1.000000000,1.000000000,282.175000
0x3,5,1.000000000,1.000000000,284.050000
0x4,3,1.000000000,1.000000000,277.833333
0x5,8,1.000000000,1.000000000,271.171875
0x6,5,1.000000000,1.000000000,292.975000
0x7,6,1.000000000,1.000000000,287.666667
0x8,4,1.000000000,1.000000000,263.531250
0x9,7,1.000000000,1.000000000,288.767857
0xA,6,1.000000000,1.000000000,267.145833
0xB,8,1.000000000,1.000000000,278.968750
0xC,7,1.000000000,1.000000000,262.875000
0xD,6,1.000000000,1.000000000,275.312500
0xE,11,1.000000000,1.000000000,278.977273
0xF,5,1.000000000,1.000000000,290.500000
