metric,target_rate,minimum_samples_per_sbox,minimum_total_public_outputs,observed_rate,trials
complete_SK28,0.50,6144,49152,0.590000000,100
complete_SK28,0.80,8192,65536,0.900000000,100
complete_SK28,0.90,8192,65536,0.900000000,100
complete_SK28,0.95,16384,131072,0.990000000,100
complete_SK28,0.99,16384,131072,0.990000000,100
complete_SK28,1.00,24576,196608,1.000000000,100
word_recovery,0.50,1536,12288,0.518750000,100
word_recovery,0.80,4096,32768,0.856250000,100
word_recovery,0.90,6144,49152,0.942500000,100
word_recovery,0.95,8192,65536,0.987500000,100
word_recovery,0.99,12288,98304,0.992500000,100
word_recovery,1.00,24576,196608,1.000000000,100
