samples_per_sbox,trials,mean_total_queries,std_total_queries,ci95_total_queries_low,ci95_total_queries_high,median_total_queries,min_total_queries,max_total_queries,mean_empirical_rate,std_empirical_rate,mean_absolute_rate_error,std_absolute_rate_error
16,100,780.680000,63.069287,768.318647,793.041353,779.000000,646,922,0.165036101277,0.013529897446,0.010778214920,0.008157126997
24,100,1174.220000,85.202383,1157.520640,1190.919360,1168.500000,991,1366,0.164381894621,0.012148436031,0.009516866707,0.007494097429
32,100,1564.060000,92.970813,1545.838055,1582.281945,1578.000000,1358,1731,0.164262016319,0.009970291233,0.008209347824,0.005599053865
40,100,1957.810000,98.716070,1938.462006,1977.157994,1963.000000,1718,2168,0.163867324506,0.008417376090,0.006788559785,0.004936946235
48,100,2356.710000,103.489061,2336.426517,2376.993483,2362.500000,2069,2575,0.163255843083,0.007301942398,0.005767974298,0.004526570746
56,100,2752.440000,109.830477,2730.913622,2773.966378,2750.500000,2502,2976,0.163024537083,0.006586959554,0.005271324570,0.004069576960
64,100,3142.850000,120.637815,3119.205423,3166.494577,3145.000000,2823,3461,0.163148432314,0.006297355173,0.005083500641,0.003812179423
72,100,3529.130000,124.854797,3504.658909,3553.601091,3536.500000,3163,3779,0.163418486536,0.005872664931,0.004736259532,0.003513551785
80,100,3920.370000,136.248633,3893.665759,3947.074241,3938.500000,3493,4203,0.163448923957,0.005791256175,0.004699431102,0.003421040350
96,100,4690.250000,143.958915,4662.034571,4718.465429,4693.500000,4340,5006,0.163897502198,0.005057530764,0.004058347061,0.002999676689
112,100,5472.380000,161.662498,5440.694733,5504.065267,5479.500000,5074,5917,0.163873462816,0.004863779864,0.003908037714,0.002880508998
128,100,6254.280000,167.604397,6221.430142,6287.129858,6280.000000,5892,6622,0.163844919396,0.004413675859,0.003668447579,0.002443539282
160,100,7802.620000,182.051817,7766.938499,7838.301501,7817.000000,7340,8226,0.164136054493,0.003837045363,0.003165831577,0.002144574572
192,100,9347.200000,197.576836,9308.475652,9385.924348,9357.000000,8836,9790,0.164399929272,0.003472754858,0.002756813390,0.002110744802
256,100,12442.320000,251.914844,12392.945598,12491.694402,12439.000000,11777,12970,0.164666523182,0.003343465426,0.002739682556,0.001970957777
