samples,role,trials,localized_trials,mean_known_bits,std_known_bits,consensus_correct_rate
64,A,100,11,0.000000,0.000000,1.000000000
64,B,100,11,0.000000,0.000000,1.000000000
64,C,100,11,0.000000,0.000000,1.000000000
64,D,100,11,0.000000,0.000000,1.000000000
64,E,100,11,0.000000,0.000000,1.000000000
96,A,100,82,0.000000,0.000000,1.000000000
96,B,100,82,0.000000,0.000000,1.000000000
96,C,100,82,0.000000,0.000000,1.000000000
96,D,100,82,0.000000,0.000000,1.000000000
96,E,100,82,0.000000,0.000000,1.000000000
128,A,100,95,0.000000,0.000000,1.000000000
128,B,100,95,0.000000,0.000000,1.000000000
128,C,100,95,0.000000,0.000000,1.000000000
128,D,100,95,0.000000,0.000000,1.000000000
128,E,100,95,0.000000,0.000000,1.000000000
160,A,100,100,0.000000,0.000000,1.000000000
160,B,100,100,0.000000,0.000000,1.000000000
160,C,100,100,0.000000,0.000000,1.000000000
160,D,100,100,0.000000,0.000000,1.000000000
160,E,100,100,0.000000,0.000000,1.000000000
192,A,100,100,0.010000,0.100000,1.000000000
192,B,100,100,0.000000,0.000000,1.000000000
192,C,100,100,0.010000,0.100000,1.000000000
192,D,100,100,0.000000,0.000000,1.000000000
192,E,100,100,0.000000,0.000000,1.000000000
256,A,100,100,3.430000,1.037236,1.000000000
256,B,100,100,3.410000,1.092629,1.000000000
256,C,100,100,1.730000,0.600589,1.000000000
256,D,100,100,3.410000,1.120020,1.000000000
256,E,100,100,3.470000,0.989388,1.000000000
320,A,100,100,3.980000,0.200000,1.000000000
320,B,100,100,3.980000,0.140705,1.000000000
320,C,100,100,2.000000,0.000000,1.000000000
320,D,100,100,3.950000,0.358870,1.000000000
320,E,100,100,3.970000,0.222702,1.000000000
384,A,100,100,4.000000,0.000000,1.000000000
384,B,100,100,3.990000,0.100000,1.000000000
384,C,100,100,2.000000,0.000000,1.000000000
384,D,100,100,3.980000,0.200000,1.000000000
384,E,100,100,3.980000,0.200000,1.000000000
512,A,100,100,4.000000,0.000000,1.000000000
512,B,100,100,4.000000,0.000000,1.000000000
512,C,100,100,2.000000,0.000000,1.000000000
512,D,100,100,4.000000,0.000000,1.000000000
512,E,100,100,4.000000,0.000000,1.000000000
