sbox,value,count,is_missing,is_detected_pair
0,0x0,28,0,0
0,0x1,27,0,0
0,0x2,30,0,0
0,0x3,30,0,0
0,0x4,29,0,0
0,0x5,40,0,0
0,0x6,36,0,0
0,0x7,41,0,0
0,0x8,28,0,0
0,0x9,35,0,0
0,0xA,31,0,0
0,0xB,30,0,0
0,0xC,37,0,0
0,0xD,29,0,0
0,0xE,33,0,0
0,0xF,28,0,0
1,0x0,26,0,0
1,0x1,36,0,0
1,0x2,30,0,0
1,0x3,32,0,0
1,0x4,27,0,0
1,0x5,31,0,0
1,0x6,35,0,0
1,0x7,33,0,0
1,0x8,36,0,0
1,0x9,28,0,0
1,0xA,22,0,0
1,0xB,35,0,0
1,0xC,36,0,0
1,0xD,26,0,0
1,0xE,39,0,0
1,0xF,40,0,0
2,0x0,30,0,0
2,0x1,40,0,0
2,0x2,33,0,0
2,0x3,33,0,0
2,0x4,34,0,0
2,0x5,25,0,0
2,0x6,29,0,0
2,0x7,29,0,0
2,0x8,26,0,0
2,0x9,39,0,0
2,0xA,33,0,0
2,0xB,38,0,0
2,0xC,25,0,0
2,0xD,42,0,0
2,0xE,32,0,0
2,0xF,24,0,0
3,0x0,33,0,0
3,0x1,43,0,0
3,0x2,30,0,0
3,0x3,24,0,0
3,0x4,39,0,0
3,0x5,30,0,0
3,0x6,28,0,0
3,0x7,35,0,0
3,0x8,36,0,0
3,0x9,31,0,0
3,0xA,23,0,0
3,0xB,30,0,0
3,0xC,26,0,0
3,0xD,36,0,0
3,0xE,35,0,0
3,0xF,33,0,0
4,0x0,36,0,0
4,0x1,37,0,0
4,0x2,33,0,0
4,0x3,29,0,0
4,0x4,19,0,0
4,0x5,31,0,0
4,0x6,33,0,0
4,0x7,38,0,0
4,0x8,37,0,0
4,0x9,25,0,0
4,0xA,29,0,0
4,0xB,43,0,0
4,0xC,25,0,0
4,0xD,31,0,0
4,0xE,28,0,0
4,0xF,38,0,0
5,0x0,33,0,0
5,0x1,30,0,0
5,0x2,40,0,0
5,0x3,28,0,0
5,0x4,35,0,0
5,0x5,37,0,0
5,0x6,34,0,0
5,0x7,34,0,0
5,0x8,33,0,0
5,0x9,46,0,0
5,0xA,34,0,0
5,0xB,30,0,0
5,0xC,0,1,1
5,0xD,30,0,0
5,0xE,29,0,0
5,0xF,39,0,0
6,0x0,23,0,0
6,0x1,34,0,0
6,0x2,31,0,0
6,0x3,38,0,0
6,0x4,25,0,0
6,0x5,36,0,0
6,0x6,31,0,0
6,0x7,24,0,0
6,0x8,34,0,0
6,0x9,29,0,0
6,0xA,36,0,0
6,0xB,35,0,0
6,0xC,27,0,0
6,0xD,50,0,0
6,0xE,31,0,0
6,0xF,28,0,0
7,0x0,30,0,0
7,0x1,30,0,0
7,0x2,38,0,0
7,0x3,36,0,0
7,0x4,35,0,0
7,0x5,30,0,0
7,0x6,27,0,0
7,0x7,29,0,0
7,0x8,23,0,0
7,0x9,31,0,0
7,0xA,30,0,0
7,0xB,33,0,0
7,0xC,31,0,0
7,0xD,42,0,0
7,0xE,31,0,0
7,0xF,36,0,0
