sample_index,ciphertext
1,998D3AEFBAE1E698
2,DD50BB9357EA4496
3,BB4748FE86B72F10
4,BCB084353CBCF3D8
5,B322F9442BB492C1
6,66F0D06439CB296A
7,3C54945A174759F1
8,2203C82D82145F75
9,08B461CD1B4549E9
10,3E158A078E4BFFFD
11,9B2F54BDF9D74617
12,016C4AA7AF34208A
13,CCC27259F3168292
14,5FA2BC0DA0B0A79A
15,250730851A45EF6B
16,D5BCD6B5982F2982
17,F313AFEB4974D770
18,C3757D6D4AE22CC0
19,6F670419D1407DB8
20,0434C2D3F9BB6E6D
21,72C175D06AE746D8
22,64F6C9F1106817FB
23,3DBDE69BFFC5AF86
24,9F146E690FF992D0
25,BDD3C5CEC6892EFE
26,A8CA51B4F199604D
27,479EF6B76E17E7DC
28,4604559FF76E7BCD
29,FF7E1BB90289AD4B
30,7670BFEBB349B8F6
31,179094E79C0E829E
32,CBDB8013B2E0A56C
33,A0AEB7CE907A2078
34,46D027CF981F7848
35,7C79A314FC13E00D
36,47E8E858909CB8A1
37,E610C6F45B95A97D
38,C3A761EFBB209AD4
39,CCB5ABBD92F17BA1
40,EBF023C06953478F
41,01A7A009580C8DAC
42,4601874AE34EB1E9
43,A501685A1A7A11B4
44,DE123CCF50DA0104
45,D0B999139DF75F56
46,2682289CC6506F80
47,6BA3C4BC7A12369D
48,A7EA29D2D628364F
49,720645013F3BEA67
50,0298F83981664CC9
51,E0B27A344C15F42E
52,85AFD01F4D1FF57F
53,D10B12889B2B0E09
54,AA6F590A86360284
55,145C5DE89D5E5AEC
56,9612B0EC215A9ECE
57,83CE9714E4BD5190
58,B4E8E7E1D69D440A
59,B37F237A8BC9C846
60,382D534FEC3FFF8C
61,F28BB179A5387B5E
62,54FE0F962945E3E1
63,2661F5E35340776D
64,97D948A4FA32BEA7
65,D6919622707F7075
66,7CDDAB691602694A
67,F0B4E052442F3876
68,39D2A0DC2C4C3EEB
69,CE19DE8725EA5544
70,1E39AF574AC72CF3
71,2FEA2B15910E6F11
72,09AB96332DC48D11
