trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_minimum_words,total_public_outputs,total_internal_ineffective,total_infected,aggregate_empirical_rate,theoretical_rate,absolute_rate_error,mean_minimum_gap,min_minimum_gap,max_minimum_gap
0,512,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x00000000,0,4,7,4096,678,3418,0.165527343750,0.164132936375,0.001394407375,3.571429,1,5
0,1024,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x00000000,0,6,7,8192,1314,6878,0.160400390625,0.164132936375,0.003732545750,3.142857,1,11
0,1536,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x00000000,0,4,6,12288,2021,10267,0.164469401042,0.164132936375,0.000336464666,8.833333,1,14
0,2048,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x00000000,0,4,7,16384,2690,13694,0.164184570312,0.164132936375,0.000051633937,10.571429,1,18
0,3072,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x086594D2,0,7,8,24576,3988,20588,0.162272135417,0.164132936375,0.001860800959,19.625000,9,34
0,4096,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x0845B4D2,0,6,8,32768,5301,27467,0.161773681641,0.164132936375,0.002359254735,26.125000,3,49
0,6144,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x087584D2,1,8,8,49152,7971,41181,0.162170410156,0.164132936375,0.001962526219,44.125000,4,68
0,8192,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x087584D2,1,8,8,65536,10641,54895,0.162368774414,0.164132936375,0.001764161961,65.500000,24,94
0,12288,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x087584D2,1,8,8,98304,16137,82167,0.164154052734,0.164132936375,0.000021116359,105.000000,70,140
0,16384,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x087584D2,1,8,8,131072,21429,109643,0.163490295410,0.164132936375,0.000642640965,123.000000,68,211
0,24576,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x087584D2,1,8,8,196608,32157,164451,0.163558959961,0.164132936375,0.000573976414,198.500000,141,313
0,32768,0x5343454E45525933,0x525E2D2B2EDFABED,7ADA85E8A2A0590DFD32,0x9,0x087584D2,0x087584D2,1,8,8,262144,42951,219193,0.163845062256,0.164132936375,0.000287874120,292.625000,248,347
