trial,samples_per_sbox,sbox,trial_seed,known_delta,minimum_value,minimum_count,second_minimum_count,minimum_gap,minimum_multiplicity,recovered_word,actual_word,unique_minimum,word_success,internal_ineffective,internal_infected,empirical_ineffective_rate
0,512,0,0x525E2D2B2EDFABED,0x9,0xB,18,23,5,1,0x2,0x2,1,1,92,420,0.179687500000
0,512,1,0x525E2D2B2EDFABED,0x9,0x1,21,23,2,1,0x8,0x8,1,1,82,430,0.160156250000
0,512,2,0x525E2D2B2EDFABED,0x9,0xE,21,26,5,1,0x7,0x6,1,0,86,426,0.167968750000
0,512,3,0x525E2D2B2EDFABED,0x9,0x8,19,24,5,1,0x1,0x1,1,1,86,426,0.167968750000
0,512,4,0x525E2D2B2EDFABED,0x9,0xF,23,24,1,1,0x6,0xA,1,0,81,431,0.158203125000
0,512,5,0x525E2D2B2EDFABED,0x9,0xB,21,26,5,1,0x2,0x2,1,1,81,431,0.158203125000
0,512,6,0x525E2D2B2EDFABED,0x9,0x6,22,24,2,1,0xF,0xA,1,0,89,423,0.173828125000
0,512,7,0x525E2D2B2EDFABED,0x9,0x3,25,27,2,3,0x0,0xC,0,0,81,431,0.158203125000
0,1024,0,0x525E2D2B2EDFABED,0x9,0xB,46,48,2,1,0x2,0x2,1,1,180,844,0.175781250000
0,1024,1,0x525E2D2B2EDFABED,0x9,0x2,50,57,7,2,0x0,0x8,0,0,157,867,0.153320312500
0,1024,2,0x525E2D2B2EDFABED,0x9,0xF,54,55,1,1,0x6,0x6,1,1,166,858,0.162109375000
0,1024,3,0x525E2D2B2EDFABED,0x9,0x8,53,54,1,1,0x1,0x1,1,1,154,870,0.150390625000
0,1024,4,0x525E2D2B2EDFABED,0x9,0x3,51,54,3,1,0xA,0xA,1,1,155,869,0.151367187500
0,1024,5,0x525E2D2B2EDFABED,0x9,0xB,43,54,11,1,0x2,0x2,1,1,164,860,0.160156250000
0,1024,6,0x525E2D2B2EDFABED,0x9,0x3,51,54,3,1,0xA,0xA,1,1,174,850,0.169921875000
0,1024,7,0x525E2D2B2EDFABED,0x9,0xB,48,49,1,1,0x2,0xC,1,0,164,860,0.160156250000
0,1536,0,0x525E2D2B2EDFABED,0x9,0x8,71,82,11,2,0x0,0x2,0,0,264,1272,0.171875000000
0,1536,1,0x525E2D2B2EDFABED,0x9,0x2,70,80,10,1,0xB,0x8,1,0,236,1300,0.153645833333
0,1536,2,0x525E2D2B2EDFABED,0x9,0x0,80,81,1,1,0x9,0x6,1,0,259,1277,0.168619791667
0,1536,3,0x525E2D2B2EDFABED,0x9,0x8,74,88,14,1,0x1,0x1,1,1,255,1281,0.166015625000
0,1536,4,0x525E2D2B2EDFABED,0x9,0x3,81,86,5,2,0x0,0xA,0,0,237,1299,0.154296875000
0,1536,5,0x525E2D2B2EDFABED,0x9,0xB,72,79,7,1,0x2,0x2,1,1,246,1290,0.160156250000
0,1536,6,0x525E2D2B2EDFABED,0x9,0x3,70,84,14,1,0xA,0xA,1,1,263,1273,0.171223958333
0,1536,7,0x525E2D2B2EDFABED,0x9,0x5,69,76,7,1,0xC,0xC,1,1,261,1275,0.169921875000
0,2048,0,0x525E2D2B2EDFABED,0x9,0xB,95,105,10,1,0x2,0x2,1,1,349,1699,0.170410156250
0,2048,1,0x525E2D2B2EDFABED,0x9,0x2,109,114,5,1,0xB,0x8,1,0,317,1731,0.154785156250
0,2048,2,0x525E2D2B2EDFABED,0x9,0x9,104,108,4,2,0x0,0x6,0,0,337,1711,0.164550781250
0,2048,3,0x525E2D2B2EDFABED,0x9,0x8,103,121,18,1,0x1,0x1,1,1,346,1702,0.168945312500
0,2048,4,0x525E2D2B2EDFABED,0x9,0x5,109,117,8,1,0xC,0xA,1,0,325,1723,0.158691406250
0,2048,5,0x525E2D2B2EDFABED,0x9,0x0,106,107,1,1,0x9,0x2,1,0,322,1726,0.157226562500
0,2048,6,0x525E2D2B2EDFABED,0x9,0x3,92,110,18,1,0xA,0xA,1,1,350,1698,0.170898437500
0,2048,7,0x525E2D2B2EDFABED,0x9,0x5,95,109,14,1,0xC,0xC,1,1,344,1704,0.167968750000
0,3072,0,0x525E2D2B2EDFABED,0x9,0xB,146,175,29,1,0x2,0x2,1,1,519,2553,0.168945312500
0,3072,1,0x525E2D2B2EDFABED,0x9,0x1,159,174,15,1,0x8,0x8,1,1,467,2605,0.152018229167
0,3072,2,0x525E2D2B2EDFABED,0x9,0xF,148,166,18,1,0x6,0x6,1,1,502,2570,0.163411458333
0,3072,3,0x525E2D2B2EDFABED,0x9,0x8,151,175,24,1,0x1,0x1,1,1,507,2565,0.165039062500
0,3072,4,0x525E2D2B2EDFABED,0x9,0x5,165,174,9,1,0xC,0xA,1,0,486,2586,0.158203125000
0,3072,5,0x525E2D2B2EDFABED,0x9,0xB,163,172,9,1,0x2,0x2,1,1,493,2579,0.160481770833
0,3072,6,0x525E2D2B2EDFABED,0x9,0x3,142,176,34,1,0xA,0xA,1,1,495,2577,0.161132812500
0,3072,7,0x525E2D2B2EDFABED,0x9,0x5,147,166,19,1,0xC,0xC,1,1,519,2553,0.168945312500
0,4096,0,0x525E2D2B2EDFABED,0x9,0xB,190,239,49,1,0x2,0x2,1,1,663,3433,0.161865234375
0,4096,1,0x525E2D2B2EDFABED,0x9,0x1,203,240,37,1,0x8,0x8,1,1,637,3459,0.155517578125
0,4096,2,0x525E2D2B2EDFABED,0x9,0xF,199,226,27,1,0x6,0x6,1,1,684,3412,0.166992187500
0,4096,3,0x525E2D2B2EDFABED,0x9,0x8,203,236,33,1,0x1,0x1,1,1,647,3449,0.157958984375
0,4096,4,0x525E2D2B2EDFABED,0x9,0x5,223,231,8,1,0xC,0xA,1,0,654,3442,0.159667968750
0,4096,5,0x525E2D2B2EDFABED,0x9,0xD,227,230,3,1,0x4,0x2,1,0,674,3422,0.164550781250
0,4096,6,0x525E2D2B2EDFABED,0x9,0x3,198,228,30,1,0xA,0xA,1,1,674,3422,0.164550781250
0,4096,7,0x525E2D2B2EDFABED,0x9,0x5,194,216,22,1,0xC,0xC,1,1,668,3428,0.163085937500
0,6144,0,0x525E2D2B2EDFABED,0x9,0xB,289,357,68,1,0x2,0x2,1,1,999,5145,0.162597656250
0,6144,1,0x525E2D2B2EDFABED,0x9,0x1,299,366,67,1,0x8,0x8,1,1,975,5169,0.158691406250
0,6144,2,0x525E2D2B2EDFABED,0x9,0xF,300,334,34,1,0x6,0x6,1,1,1023,5121,0.166503906250
0,6144,3,0x525E2D2B2EDFABED,0x9,0x8,317,367,50,1,0x1,0x1,1,1,972,5172,0.158203125000
0,6144,4,0x525E2D2B2EDFABED,0x9,0x3,347,351,4,1,0xA,0xA,1,1,977,5167,0.159016927083
0,6144,5,0x525E2D2B2EDFABED,0x9,0xB,331,355,24,1,0x2,0x2,1,1,1008,5136,0.164062500000
0,6144,6,0x525E2D2B2EDFABED,0x9,0x3,300,354,54,1,0xA,0xA,1,1,1006,5138,0.163736979167
0,6144,7,0x525E2D2B2EDFABED,0x9,0x5,298,350,52,1,0xC,0xC,1,1,1011,5133,0.164550781250
0,8192,0,0x525E2D2B2EDFABED,0x9,0xB,387,481,94,1,0x2,0x2,1,1,1345,6847,0.164184570312
0,8192,1,0x525E2D2B2EDFABED,0x9,0x1,410,481,71,1,0x8,0x8,1,1,1323,6869,0.161499023438
0,8192,2,0x525E2D2B2EDFABED,0x9,0xF,403,481,78,1,0x6,0x6,1,1,1355,6837,0.165405273438
0,8192,3,0x525E2D2B2EDFABED,0x9,0x8,425,491,66,1,0x1,0x1,1,1,1322,6870,0.161376953125
0,8192,4,0x525E2D2B2EDFABED,0x9,0x3,451,475,24,1,0xA,0xA,1,1,1298,6894,0.158447265625
0,8192,5,0x525E2D2B2EDFABED,0x9,0xB,449,483,34,1,0x2,0x2,1,1,1325,6867,0.161743164062
0,8192,6,0x525E2D2B2EDFABED,0x9,0x3,405,479,74,1,0xA,0xA,1,1,1328,6864,0.162109375000
0,8192,7,0x525E2D2B2EDFABED,0x9,0x5,399,482,83,1,0xC,0xC,1,1,1345,6847,0.164184570312
0,12288,0,0x525E2D2B2EDFABED,0x9,0xB,590,730,140,1,0x2,0x2,1,1,2012,10276,0.163736979167
0,12288,1,0x525E2D2B2EDFABED,0x9,0x1,598,723,125,1,0x8,0x8,1,1,2039,10249,0.165934244792
0,12288,2,0x525E2D2B2EDFABED,0x9,0xF,619,723,104,1,0x6,0x6,1,1,2015,10273,0.163981119792
0,12288,3,0x525E2D2B2EDFABED,0x9,0x8,653,734,81,1,0x1,0x1,1,1,1952,10336,0.158854166667
0,12288,4,0x525E2D2B2EDFABED,0x9,0x3,652,730,78,1,0xA,0xA,1,1,2027,10261,0.164957682292
0,12288,5,0x525E2D2B2EDFABED,0x9,0xB,659,729,70,1,0x2,0x2,1,1,2044,10244,0.166341145833
0,12288,6,0x525E2D2B2EDFABED,0x9,0x3,622,734,112,1,0xA,0xA,1,1,2011,10277,0.163655598958
0,12288,7,0x525E2D2B2EDFABED,0x9,0x5,595,725,130,1,0xC,0xC,1,1,2037,10251,0.165771484375
0,16384,0,0x525E2D2B2EDFABED,0x9,0xB,777,988,211,1,0x2,0x2,1,1,2695,13689,0.164489746094
0,16384,1,0x525E2D2B2EDFABED,0x9,0x1,819,961,142,1,0x8,0x8,1,1,2684,13700,0.163818359375
0,16384,2,0x525E2D2B2EDFABED,0x9,0xF,840,941,101,1,0x6,0x6,1,1,2658,13726,0.162231445312
0,16384,3,0x525E2D2B2EDFABED,0x9,0x8,872,955,83,1,0x1,0x1,1,1,2595,13789,0.158386230469
0,16384,4,0x525E2D2B2EDFABED,0x9,0x3,884,982,98,1,0xA,0xA,1,1,2679,13705,0.163513183594
0,16384,5,0x525E2D2B2EDFABED,0x9,0xB,876,944,68,1,0x2,0x2,1,1,2696,13688,0.164550781250
0,16384,6,0x525E2D2B2EDFABED,0x9,0x3,844,975,131,1,0xA,0xA,1,1,2703,13681,0.164978027344
0,16384,7,0x525E2D2B2EDFABED,0x9,0x5,811,961,150,1,0xC,0xC,1,1,2719,13665,0.165954589844
0,24576,0,0x525E2D2B2EDFABED,0x9,0xB,1182,1495,313,1,0x2,0x2,1,1,4115,20461,0.167439778646
0,24576,1,0x525E2D2B2EDFABED,0x9,0x1,1229,1431,202,1,0x8,0x8,1,1,4048,20528,0.164713541667
0,24576,2,0x525E2D2B2EDFABED,0x9,0xF,1263,1427,164,1,0x6,0x6,1,1,4007,20569,0.163045247396
0,24576,3,0x525E2D2B2EDFABED,0x9,0x8,1315,1478,163,1,0x1,0x1,1,1,3901,20675,0.158732096354
0,24576,4,0x525E2D2B2EDFABED,0x9,0x3,1330,1497,167,1,0xA,0xA,1,1,4019,20557,0.163533528646
