parameter,value
sample_count,65536
detected_sbox,5
public_minimum,0xC
active_role_A_sbox,4
active_role_B_sbox,5
active_role_C_sbox,7
active_role_D_sbox,0
active_role_E_sbox,1
tested_candidates,1048576
walsh_masks_evaluated,15
top_candidate_count,4
top_score_numerator,8340224
second_score_numerator,6884000
top_sei,0.000121366232634
second_sei,0.000100175384432
sei_gap,2.11908482015e-05
recovered_active_bits,18
active_key_bits,20
delta_recovered,YES
recovered_delta,0xB
structural_ambiguity,4 equivalent candidates
status,PASS
