candidate_a,candidate_b,constant_xor_valid,constant_xor,histogram_permutation_equal,score_equal
0x3B37E,0x3B37E,1,0x0,1,1
0x3B37E,0x3B77E,1,0x1,1,1
0x3B37E,0x3BB7E,1,0x1,1,1
0x3B37E,0x3BF7E,1,0x0,1,1
0x3B77E,0x3B37E,1,0x1,1,1
0x3B77E,0x3B77E,1,0x0,1,1
0x3B77E,0x3BB7E,1,0x0,1,1
0x3B77E,0x3BF7E,1,0x1,1,1
0x3BB7E,0x3B37E,1,0x1,1,1
0x3BB7E,0x3B77E,1,0x0,1,1
0x3BB7E,0x3BB7E,1,0x0,1,1
0x3BB7E,0x3BF7E,1,0x1,1,1
0x3BF7E,0x3B37E,1,0x0,1,1
0x3BF7E,0x3B77E,1,0x1,1,1
0x3BF7E,0x3BB7E,1,0x1,1,1
0x3BF7E,0x3BF7E,1,0x0,1,1
