secret_delta,trials,localization_success_rate,delta_success_rate,target_outcome_success_rate,actual_candidate_retention_rate,mean_recovered_bits,std_recovered_bits,mean_surviving_candidates,std_surviving_candidates
0,4,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
1,6,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
2,7,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
3,7,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
4,9,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
5,9,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
6,5,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
7,7,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
8,5,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
9,8,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
10,7,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
11,4,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
12,6,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
13,6,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
14,3,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
15,7,1.000000000,1.000000000,1.000000000,1.000000000,18.000000,0.000000,4.000000,0.000000
