artifact,type,description
TABLE_MANIFEST.csv,csv,Scenario 3 paper table
table_s3_final_recovery.csv,csv,Scenario 3 paper table
table_s3_final_recovery.md,md,Scenario 3 paper table
table_s3_final_recovery.tex,tex,Scenario 3 paper table
table_s3_fixed_campaigns.csv,csv,Scenario 3 paper table
table_s3_fixed_campaigns.md,md,Scenario 3 paper table
table_s3_fixed_campaigns.tex,tex,Scenario 3 paper table
table_s3_gap_statistics.csv,csv,Scenario 3 paper table
table_s3_gap_statistics.md,md,Scenario 3 paper table
table_s3_gap_statistics.tex,tex,Scenario 3 paper table
table_s3_histogram_counts.csv,csv,Scenario 3 paper table
table_s3_per_delta_success.csv,csv,Scenario 3 paper table
table_s3_per_sbox_success.csv,csv,Scenario 3 paper table
table_s3_success_curve.csv,csv,Scenario 3 paper table
table_s3_success_curve.md,md,Scenario 3 paper table
table_s3_success_curve.tex,tex,Scenario 3 paper table
table_s3_thresholds.csv,csv,Scenario 3 paper table
