artifact,type,description
TABLE_MANIFEST.csv,csv,Scenario 1 paper table
table_s1_final_recovery.csv,csv,Scenario 1 paper table
table_s1_final_recovery.md,md,Scenario 1 paper table
table_s1_final_recovery.tex,tex,Scenario 1 paper table
table_s1_fixed_campaigns.csv,csv,Scenario 1 paper table
table_s1_fixed_campaigns.md,md,Scenario 1 paper table
table_s1_fixed_campaigns.tex,tex,Scenario 1 paper table
table_s1_histogram_counts.csv,csv,Scenario 1 paper table
table_s1_per_sbox_success.csv,csv,Scenario 1 paper table
table_s1_query_complexity.csv,csv,Scenario 1 paper table
table_s1_success_curve.csv,csv,Scenario 1 paper table
table_s1_success_curve.md,md,Scenario 1 paper table
table_s1_success_curve.tex,tex,Scenario 1 paper table
table_s1_success_thresholds.csv,csv,Scenario 1 paper table
