samples_per_sbox,trials,full_key_successes,full_key_success_rate,full_key_ci95_low,full_key_ci95_high,word_successes,word_trials,word_success_rate,word_ci95_low,word_ci95_high,mean_correct_words_of_8,std_correct_words,mean_unique_missing_words_of_8,std_unique_missing_words
16,100,0,0.000000000,0.000000000,0.036993498,0,800,0.000000000,0.000000000,0.004778876,0.000000,0.000000,0.000000,0.000000
24,100,0,0.000000000,0.000000000,0.036993498,0,800,0.000000000,0.000000000,0.004778876,0.000000,0.000000,0.000000,0.000000
32,100,0,0.000000000,0.000000000,0.036993498,13,800,0.016250000,0.009520811,0.027602752,0.130000,0.337998,0.130000,0.337998
40,100,0,0.000000000,0.000000000,0.036993498,40,800,0.050000000,0.036931386,0.067369602,0.400000,0.816497,0.400000,0.816497
48,100,0,0.000000000,0.000000000,0.036993498,99,800,0.123750000,0.102713103,0.148383002,0.990000,1.344611,0.990000,1.344611
56,100,7,0.070000000,0.034319261,0.137495147,221,800,0.276250000,0.246390122,0.308248426,2.210000,2.375357,2.210000,2.375357
64,100,20,0.200000000,0.133366933,0.288829166,356,800,0.445000000,0.410906878,0.479618799,3.560000,2.882619,3.560000,2.882619
72,100,34,0.340000000,0.254615208,0.437222711,469,800,0.586250000,0.551788761,0.619886883,4.690000,3.034132,4.690000,3.034132
80,100,59,0.590000000,0.492014301,0.681326870,608,800,0.760000000,0.729207351,0.788307633,6.080000,2.747561,6.080000,2.747561
96,100,83,0.830000000,0.744519952,0.891064339,721,800,0.901250000,0.878620416,0.920044536,7.210000,1.991370,7.210000,1.991370
112,100,94,0.940000000,0.875231846,0.972213876,774,800,0.967500000,0.952805655,0.977726096,7.740000,1.151372,7.740000,1.151372
128,100,99,0.990000000,0.945513804,0.998232568,796,800,0.995000000,0.987214982,0.998053931,7.960000,0.400000,7.960000,0.400000
160,100,100,1.000000000,0.963006502,1.000000000,800,800,1.000000000,0.995221124,1.000000000,8.000000,0.000000,8.000000,0.000000
192,100,100,1.000000000,0.963006502,1.000000000,800,800,1.000000000,0.995221124,1.000000000,8.000000,0.000000,8.000000,0.000000
256,100,100,1.000000000,0.963006502,1.000000000,800,800,1.000000000,0.995221124,1.000000000,8.000000,0.000000,8.000000,0.000000
