target_sbox,value,count,is_missing
0,0,299,0
0,1,256,0
0,2,282,0
0,3,276,0
0,4,299,0
0,5,244,0
0,6,286,0
0,7,288,0
0,8,301,0
0,9,257,0
0,10,274,0
0,11,265,0
0,12,267,0
0,13,256,0
0,14,0,1
0,15,246,0
1,0,300,0
1,1,260,0
1,2,315,0
1,3,259,0
1,4,260,0
1,5,265,0
1,6,0,1
1,7,263,0
1,8,270,0
1,9,274,0
1,10,272,0
1,11,278,0
1,12,266,0
1,13,269,0
1,14,259,0
1,15,286,0
2,0,262,0
2,1,276,0
2,2,265,0
2,3,261,0
2,4,255,0
2,5,306,0
2,6,283,0
2,7,280,0
2,8,256,0
2,9,278,0
2,10,285,0
2,11,278,0
2,12,257,0
2,13,266,0
2,14,288,0
2,15,0,1
3,0,281,0
3,1,264,0
3,2,284,0
3,3,276,0
3,4,277,0
3,5,258,0
3,6,278,0
3,7,293,0
3,8,279,0
3,9,0,1
3,10,268,0
3,11,289,0
3,12,240,0
3,13,253,0
3,14,280,0
3,15,276,0
4,0,273,0
4,1,264,0
4,2,300,0
4,3,271,0
4,4,266,0
4,5,271,0
4,6,273,0
4,7,267,0
4,8,260,0
4,9,296,0
4,10,289,0
4,11,0,1
4,12,270,0
4,13,257,0
4,14,260,0
4,15,279,0
5,0,275,0
5,1,264,0
5,2,0,1
5,3,250,0
5,4,243,0
5,5,264,0
5,6,297,0
5,7,278,0
5,8,296,0
5,9,266,0
5,10,292,0
5,11,267,0
5,12,282,0
5,13,248,0
5,14,282,0
5,15,292,0
6,0,275,0
6,1,283,0
6,2,266,0
6,3,257,0
6,4,293,0
6,5,0,1
6,6,280,0
6,7,288,0
6,8,289,0
6,9,261,0
6,10,274,0
6,11,272,0
6,12,226,0
6,13,287,0
6,14,273,0
6,15,272,0
7,0,299,0
7,1,261,0
7,2,290,0
7,3,283,0
7,4,268,0
7,5,288,0
7,6,260,0
7,7,272,0
7,8,313,0
7,9,275,0
7,10,256,0
7,11,266,0
7,12,262,0
7,13,248,0
7,14,0,1
7,15,255,0
