query_index,ineffective_index,plaintext,ciphertext
3,1,DBD589D9339FF189,5697428233E92921
16,2,F4A3D79965AD3AAC,CEEA482BEB795F85
18,3,80DBC5C34B097DAB,0D78BD1E6AA24D5F
19,4,E7AA5CB8EF0D91E3,EDBFF69880DA5CC9
20,5,12F8B59A2BA13F27,B72B47139CD563C7
23,6,0CF1D5F901002E82,3799290C467F5E9F
25,7,B7FBF1D0724A053C,48A398E39A0118E5
27,8,3F18932D042024E5,EFA16195940D84BA
30,9,0D0C7AA9668BE7C5,A7F7EE5D5F63DD7D
37,10,D3BEAA696A9E0223,FB2ABA3D313F6153
38,11,4E07CB990B16973C,00D33B3F47D119B2
41,12,087E6D9636C3C516,9262BA7FBB8F8BB4
47,13,C06ABE68143BCBC9,40E8B731709ABF8C
50,14,A06344696337DC61,6BE925C6CFB5C50F
51,15,AD9259BB4BC868FE,C0E61417E4425194
52,16,495344F9ACAA4012,DB41AA78E46EFB22
55,17,6E0010B84549C9EE,8FC425077A0A5A5E
59,18,63C8D9F9A5A63372,CF0D40A4188F577F
64,19,F3FD7C5192FFF8AD,06AE85D0340E4A79
66,20,74C1AA959F0CB0AA,BF3601066D3F558C
71,21,5F01D387288EA1D9,27B389B74A98CED2
73,22,13308D76CF4A5F70,FE093ADC48456C93
82,23,92B85D0C0128D1F3,15D270AB87228C9B
96,24,BA8F8D1B4430B022,02684F25509D7B81
100,25,826BB5A197B051F2,D658AEED88253CE1
109,26,4D1C70E75E5D138A,F0B90AD92B8EDAFB
113,27,79678FEE6C23DD50,22D0D9E01207EACA
114,28,69B6D746CF61829B,1832E0078C7B112E
115,29,D64940DD8247B59A,8B2BEF2F94EC73AC
127,30,44C9D554BC53F131,EB33DD920AAEC7A1
130,31,48635999BD55DF1B,E5FF997944516D70
136,32,458469C486F4452C,56D5AF3A8DE552E3
163,33,0ACC6D4ECA10E67A,75B959635CB7BE72
168,34,C78B5BD01E09E03C,9219FA8778BE623A
171,35,3620B09FA187F2B2,138F5B2AF61C57D3
175,36,775116437BA7DD50,51F05297B1682125
185,37,D8E377BC961ED461,5362A0A992A18951
193,38,93AA170D9F455241,9480F3725A11B5CE
195,39,EA2F58B00BEF564C,80B59716A8C3F100
196,40,5B0C5423E5D916E6,6047F866251BADE6
197,41,B7E4DE7A1103875F,931EEB0D349F271D
201,42,9E4C5DAE34A2C136,27BD4E1573B8CD68
205,43,0FC5CE3D7FA3DB7D,6ADDC04E2D4C0AD6
210,44,DC20D7ACD0423B45,73F9DD1656679DB4
219,45,CE4E1A41BC33EC57,E11E599C989A1F78
240,46,FC1C41FA92BF8042,CCFFB5F91E17CDFC
242,47,CD923746F3C98956,865F59314A6D74AC
255,48,5E69F50D04847BA8,2CC7C694DC1178C7
256,49,DBAB27F9978949F6,716A54B9B8E82462
263,50,AD16F7ED1C3BD519,4E813C2FFF19EFF5
270,51,B4F693B478734459,FF7CE3E912E41F84
278,52,D49CC7034F7A6D56,C82671C3090D86A2
286,53,CE0495A9A2A1C0E1,98B478DAB136A347
287,54,1586E645D78C44F8,6275D2888D00E496
295,55,275B4481BE5AE663,DF364461CEC3B001
297,56,37878A4F2C5EF2F0,7326F514A96BF238
301,57,4A57443740472CA7,1322E17E7DAA7946
305,58,640592C322EB7D27,04F8C10E6144B2A3
323,59,926F2179A25DF463,E303449CEA0E97D8
326,60,059E156B74A49396,13EB3A8888A466D7
331,61,C13DF9A7E7ABE0E0,90A8C1969B3E36C5
347,62,B6989F6B305307F6,5B936DC8C3986F65
354,63,F4BE2B6A857DA9E2,4213027082179EC1
355,64,9B60966B124EBB69,0BF40682A547D37D
357,65,41EB69E04BF49EE3,AAD82C246EC3418E
359,66,A1BF71F2A2F99447,034C49BE5A404650
364,67,A89C5F6B71609DA6,39631DE6801A038E
366,68,910A0B23504E4C01,553DFD6449334351
377,69,C0B163356F299162,61228B28CCD1D9D2
385,70,F72311DD362158D2,713FD20EC9048F52
393,71,4016C91A3D380CDD,632E7C08CF61AFF1
394,72,7481D1C2840C25F8,2056B6FB14E0A748
398,73,97B6F55434510A57,30F3130BF7177776
407,74,33A363F323FE433D,ECC64EA340FFD00B
409,75,A991F5CD2EBFB9FD,3E942896BE014FC4
413,76,BC8B39056909B424,741E4D3BF0CFEACE
414,77,C0DFDB2CE8F7EC46,3F9C4AED7AA0349B
431,78,A13BFFAEB375E8E7,7664593AEEBBF42B
433,79,C20DECFFBF24ECC4,0C0DA13429EACCA7
437,80,AD034D68BDFE3B47,7C6872BB7281CB35
453,81,E6230726237B1541,48E9A6172469E673
456,82,BF24D1091862D890,F8156E720578C182
460,83,F78171BE6A89313F,4AC0BDB9E10F0B2D
470,84,AFCFBAAAEDA6C555,0C81DB395D41BF90
477,85,9F65C3F1E73D7667,41FB4554E124F8F5
479,86,FCA95AFA54BB6609,2D5BE01AD8063FF9
484,87,953C9B5C4CBC5022,DE14D56128D3ABCE
493,88,084CF7566330E918,5EC82558B9FD409D
499,89,4D80CDCD64A271A0,EA853C2FA293CDF1
503,90,DFAC071460459A46,879D29BDFF6D4CCB
505,91,B54D41B5CF57B1D6,96CE62CD43CC546F
509,92,F204B0A0390D8C41,FD61FF1D6FA0FBDA
529,93,4A38CBE3940DA895,AFEF39F2E3D93CC0
533,94,ACC3DC8FDD0FA192,BFF31BBDAAC7247B
537,95,2D33770678C58A82,12544BC7C8B786D3
540,96,7359844457A947A2,361D57444F051505
546,97,89E8D1A60F39D805,911761C2F4B2BCE8
552,98,40D9AB4A6C38A2E0,DC033DC441652AE9
554,99,BAD7E796EB0E5E41,8C867E2EE0754BAC
556,100,94629026DACD4150,E8E8CF336D36D2EC
566,101,FC4E9040137BCF5B,80B0C0219C30CEC6
568,102,8288299981822F9A,3E534CB8A9A34358
569,103,0ED082C6F11C83C2,134A45E93A76CAAB
578,104,A24E176103B32EC1,605554E9AD45AEA7
580,105,90BB1E6D56A72EE3,D9592C11FA42F15E
583,106,A7C1C19EB6304941,837CB82EC02506AE
586,107,3A87D52A67EC65CE,50745009247E7FBA
592,108,D44CFF289A611F70,119AE4C5180FB558
606,109,C216734EABEAC339,60D57D59491CD51A
607,110,B494238A995E176E,24AA1655630D208D
624,111,F69EA04164794207,345915914703CEBC
632,112,F402AF3AD27CC76D,F58F4857EB0D3FB3
635,113,45187324AED01AD3,F7DA3181D3A4C1C6
639,114,33DD94264D455B2D,2BB35AB8A8C4EC1E
642,115,837CACB5A9348CA3,9954B472B2A30D91
651,116,5C9BB79F13DFD7AE,07823E7C8B57F9AB
658,117,639463A903C28EC5,510B0471F06159A0
667,118,E86CE1F4BCAB8098,DDD11A20418178AC
669,119,BCE9477DB7587CEB,F22CCD51CE238F02
675,120,204AF6F5A9845866,24CD1767F1DE04F3
693,121,E8ED10401EA08DAB,901737180A29CF47
695,122,624ABDFB1AC46947,BC3FC7F7E7A9EE85
696,123,62FC032D7A53D4B5,02F9651C155FDCFE
699,124,1C6A20EB945B31A4,C6F668DEF3FB0740
700,125,A3E3F9BECEF6CF77,605AF0807E13B338
705,126,7E7D24523FDF779A,77A442F8EA517673
711,127,9662C250DB480333,FBBCC69AC258754B
719,128,F279C8A82A14A639,55ACAE898395E6CF
738,129,E2B4910E341E72F0,B052DAB91B32A2F3
745,130,868C7FCED3FB1D9E,BBA03AE22149E85D
749,131,0C7A6E8389D1BDB4,4FE0DB7584FCED39
752,132,03CB0131D918AAD2,2473F185EAE87522
754,133,51B66B563669EC46,021313944962A7EE
758,134,6FB59697898A3A55,E231C66792E79FE4
777,135,FBE7B6364178C07D,F38FFBD4E2E9F094
781,136,A1B71086419376C3,AF0D9DC618953067
785,137,3028181FCA2E909E,274C3C0221A6F324
791,138,115130F957C5172A,34B49E1CE6595360
793,139,6E2CC970D9E4A5D8,61916CCF24B85CE1
798,140,25A316D93C758176,FD7389A4D5AB01A2
799,141,4BAE01EB424D84D4,701230C3B645BCE5
804,142,94169F76E282F14F,39826FDAC060DE14
805,143,6991417C1D2930D8,71919346CCEFB4CB
816,144,D953D4A6C8E01099,13C03B7711CE02B8
832,145,A233E850B1985CF5,7D0960DB963504CD
836,146,A646359B0C141A65,E00707F7C88F93D8
841,147,A4C2A647B18B885C,8D952921F58DE7D0
855,148,B6B9660F08150059,266D1F4946FA7819
858,149,016B729947C64838,83A25B3B6EE5369F
859,150,D11B929888E01609,68E5A9F0FFDF279E
871,151,29C02F3ECDB6B8A5,7F1A866540476BD2
879,152,B555640B5F91DDD4,8FAD28140927DDC3
896,153,E9193CB3AED66341,09AF52B2C338BB1A
922,154,0138EC11AC339AEA,512B19FD7F614261
947,155,EE4B891CCDEDA4CA,C7195E1AF202F71B
949,156,8E5EC09EBA7CFA85,94D8EBC8BD9459B5
956,157,F8DAE914519A18E5,9617DA415D8CBAB8
958,158,24522D849944BB3B,0F80090B7BDF868B
962,159,02FEC89D74CB707D,B0F04571E5D8C3D7
978,160,5625F6A7E4564834,2847AE5D03FA0884
983,161,8449D3566A5E5FD6,2C889643FC47C7DB
995,162,FDFC16A43FE51CBC,A0E537A79E04D61B
1012,163,AE8C59D829AF173E,5327277B53A07986
1021,164,C4CEB02964076111,2607C4E588F614EC
1022,165,FE1E3A0E9351947C,F22513D3C0A1EF63
1035,166,EF9D6A6B4E24EA6B,9C35F7D77A050834
1052,167,D40795E97867C8FF,C7DB5BAA6E2DA7F3
1054,168,DB0B5E4FF6941E33,890BE01938C8227C
1060,169,A920BABEC3A1BD4B,A193BB1B669B0250
1061,170,ECB9BEAAFEBCC1CC,EA5C3C96CBD8E86A
1064,171,02A94211EBEB5177,38B65A91AE9B6643
1069,172,1DA311DABC68C8CE,546A7C44D3FE0EF2
1086,173,9E81A1CAC18B5E0E,FAA8972B5FE66DCA
1087,174,666AB7D79865C666,B31C516A9DF871D8
1088,175,0A23C38B4113F527,7315C5978ACB1D7A
1110,176,D0B1C3022C9608B8,EBB12DCBFBF0806E
1113,177,704CE5740E4A0638,6E1B65223FA51FA3
1117,178,CC580D866CDCEC33,80706A5676BC324C
1118,179,E04E4B9C99B55CCF,08645D2FEF97CD45
1120,180,F28DD282BB77EE33,7951B033280CBD1B
1125,181,430045BDC5F2423B,D0F92C1E813F9B5F
1135,182,0D92077F86E97720,DD9D689A6BC70C1F
1136,183,AB1C154C52DBD223,2CF1A8A885E7159C
1140,184,B53CD131687AA282,6C7D74568D62A8F2
1150,185,538BD1038FA55CA4,8BBEF5BF0CB6C3D2
1162,186,41A29BA0F24BA425,AB8BE4E2D9D2B5BC
1167,187,E67A23BF17337DAF,AAA6ED495C7791F4
1169,188,8DF03BBA16912CC7,A1216A98DBE4BF52
1202,189,1A0BF0B2297B6FBE,32B87EF86FF3F70D
1206,190,03688899710BAC54,E08E70CE9868B0DD
1208,191,0661B7E5A1B4A54F,590E12D2B54BF453
1214,192,BB9A34820F55DDB4,3099FC59300D1859
1215,193,F45DE3A7E1612BEC,DDF1C8116EC235CA
1221,194,EAFBA213DA4C605A,9FAFDD59B527A277
1225,195,20BB71C3CCE99EF0,83160B9BB3FE1A9F
1226,196,F85BA16198D2C635,1EEC886CFC944F00
1235,197,F22A451D2CD59319,DA9153C701291FFE
1255,198,69436CAC59601F72,99E05C106E9FE221
1269,199,B2D616D061E8DB88,9F39A402E61EBAA0
1271,200,FAC19BEF719104FB,B4F39DDA42B319DA
1276,201,BE425B681F6B4BA6,83E6FDD9DE3C4237
1277,202,6A9E2DA160AA134D,9E522F4BC10671A0
1279,203,0204393C7BAAFCE3,DF696258438A5E4A
1280,204,82ACB129F7ADA18B,B797D258751C79AA
1284,205,718767CF967AEA5A,70A6DA2D44AA68D8
1285,206,421616348A725C86,C1B067AACB8631DF
1297,207,30D31D89B8BFBF88,14FBCB322122E60E
1305,208,7256759FBAFB91CE,11DF9A982252747F
1306,209,CE0CE3C12FD07803,325F953937406682
1313,210,7422BA45B3E612FE,B165666A82715D1C
1315,211,1C058A3A241ADB3C,7E3B91028FA3D9C9
1316,212,2B4A269DAD88AEBC,25772DF1AB274DD3
1322,213,548FF3E46EFDF104,0F9EF49C45658B86
1327,214,5D5B54A51054992B,6D2CA28ACBB37CFA
1332,215,2D9C301783AC584F,728E3354A7072DFB
1348,216,3F4346E4ABA39B59,8687BEA8943D6227
1349,217,0BBC07CBA989091F,22AFF87196CDFE92
1351,218,244DC44CFA29D537,9FE90C71CE99C2EF
1367,219,8767D8A53DF5D2A6,AF670A7330BC37CB
1368,220,553679CEE8BE3150,905B5D141593CED6
1378,221,24061A4B88EB06F2,92CB89B2AA58103C
1382,222,B642217A22BC19DE,A761644237A69AE2
1394,223,309B8E22044D6B19,C406EEE72FF677BA
