trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_missing_words,total_queries,mean_queries_per_sbox,min_queries_per_sbox,max_queries_per_sbox,aggregate_empirical_rate,theoretical_rate,absolute_rate_error
0,16,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0x00000000,0,0,0,761,95.125000,70,119,0.168199737188,0.164132936375,0.004066800813
0,24,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0x00000000,0,0,0,1223,152.875000,120,190,0.156991005724,0.164132936375,0.007141930652
0,32,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0x00000000,0,0,0,1593,199.125000,158,239,0.160703075957,0.164132936375,0.003429860418
0,40,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0x00000000,0,3,3,1955,244.375000,195,278,0.163682864450,0.164132936375,0.000450071925
0,48,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0x00000000,0,3,3,2304,288.000000,244,326,0.166666666667,0.164132936375,0.002533730291
0,56,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0xDCAB79D2,1,8,8,2659,332.375000,298,369,0.168484392629,0.164132936375,0.004351456253
0,64,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0xDCAB79D2,1,8,8,3004,375.500000,343,399,0.170439414115,0.164132936375,0.006306477739
0,72,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0xDCAB79D2,1,8,8,3339,417.375000,382,454,0.172506738544,0.164132936375,0.008373802169
0,80,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0xDCAB79D2,1,8,8,3814,476.750000,429,542,0.167802831673,0.164132936375,0.003669895297
0,96,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0xDCAB79D2,1,8,8,4595,574.375000,526,637,0.167138193689,0.164132936375,0.003005257313
0,112,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0xDCAB79D2,1,8,8,5473,684.125000,631,777,0.163712771789,0.164132936375,0.000420164587
0,128,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0xDCAB79D2,1,8,8,6203,775.375000,726,866,0.165081412220,0.164132936375,0.000948475845
0,160,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0xDCAB79D2,1,8,8,7749,968.625000,898,1040,0.165182604207,0.164132936375,0.001049667832
0,192,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0xDCAB79D2,1,8,8,9191,1148.875000,1072,1262,0.167120008704,0.164132936375,0.002987072329
0,256,0x5343454E45525931,0xF559DB8B509345F2,278F055F87CBA123432E,0x9,0xDCAB79D2,0xDCAB79D2,1,8,8,12326,1540.750000,1455,1685,0.166152847639,0.164132936375,0.002019911264
1,16,0x5343454E45525931,0xAD18F677B9DCF542,349A825D2877648A7F0C,0x2,0x90FC469F,0x00000000,0,0,0,703,87.875000,57,129,0.182076813656,0.164132936375,0.017943877280
1,24,0x5343454E45525931,0xAD18F677B9DCF542,349A825D2877648A7F0C,0x2,0x90FC469F,0x00000000,0,0,0,1144,143.000000,79,200,0.167832167832,0.164132936375,0.003699231457
1,32,0x5343454E45525931,0xAD18F677B9DCF542,349A825D2877648A7F0C,0x2,0x90FC469F,0x00000000,0,0,0,1560,195.000000,147,244,0.164102564103,0.164132936375,0.000030372273
1,40,0x5343454E45525931,0xAD18F677B9DCF542,349A825D2877648A7F0C,0x2,0x90FC469F,0x00000000,0,1,1,1855,231.875000,179,289,0.172506738544,0.164132936375,0.008373802169
1,48,0x5343454E45525931,0xAD18F677B9DCF542,349A825D2877648A7F0C,0x2,0x90FC469F,0x00000000,0,1,1,2339,292.375000,227,364,0.164172723386,0.164132936375,0.000039787011
1,56,0x5343454E45525931,0xAD18F677B9DCF542,349A825D2877648A7F0C,0x2,0x90FC469F,0x00000000,0,2,2,2783,347.875000,284,401,0.160977362558,0.164132936375,0.003155573817
