trial,samples_per_sbox,sbox,trial_seed,known_delta,query_count,empirical_rate,missing_count,missing_value,recovered_word,actual_word,unique_missing,word_success
0,16,0,0xF559DB8B509345F2,0x9,70,0.228571428571,6,NA,0x0,0x6,0,0
0,16,1,0xF559DB8B509345F2,0x9,111,0.144144144144,0,NA,0x0,0xA,0,0
0,16,2,0xF559DB8B509345F2,0x9,119,0.134453781513,0,NA,0x0,0x1,0,0
0,16,3,0xF559DB8B509345F2,0x9,90,0.177777777778,0,NA,0x0,0x7,0,0
0,16,4,0xF559DB8B509345F2,0x9,89,0.179775280899,0,NA,0x0,0xD,0,0
0,16,5,0xF559DB8B509345F2,0x9,88,0.181818181818,0,NA,0x0,0x6,0,0
0,16,6,0xF559DB8B509345F2,0x9,93,0.172043010753,0,NA,0x0,0xD,0,0
0,16,7,0xF559DB8B509345F2,0x9,101,0.158415841584,0,NA,0x0,0xB,0,0
0,24,0,0xF559DB8B509345F2,0x9,149,0.161073825503,2,NA,0x0,0x6,0,0
0,24,1,0xF559DB8B509345F2,0x9,190,0.126315789474,0,NA,0x0,0xA,0,0
0,24,2,0xF559DB8B509345F2,0x9,163,0.147239263804,0,NA,0x0,0x1,0,0
0,24,3,0xF559DB8B509345F2,0x9,172,0.139534883721,0,NA,0x0,0x7,0,0
0,24,4,0xF559DB8B509345F2,0x9,147,0.163265306122,0,NA,0x0,0xD,0,0
0,24,5,0xF559DB8B509345F2,0x9,120,0.200000000000,0,NA,0x0,0x6,0,0
0,24,6,0xF559DB8B509345F2,0x9,131,0.183206106870,0,NA,0x0,0xD,0,0
0,24,7,0xF559DB8B509345F2,0x9,151,0.158940397351,0,NA,0x0,0xB,0,0
0,32,0,0xF559DB8B509345F2,0x9,204,0.156862745098,2,NA,0x0,0x6,0,0
0,32,1,0xF559DB8B509345F2,0x9,233,0.137339055794,0,NA,0x0,0xA,0,0
0,32,2,0xF559DB8B509345F2,0x9,219,0.146118721461,0,NA,0x0,0x1,0,0
0,32,3,0xF559DB8B509345F2,0x9,239,0.133891213389,0,NA,0x0,0x7,0,0
0,32,4,0xF559DB8B509345F2,0x9,198,0.161616161616,0,NA,0x0,0xD,0,0
0,32,5,0xF559DB8B509345F2,0x9,158,0.202531645570,0,NA,0x0,0x6,0,0
0,32,6,0xF559DB8B509345F2,0x9,158,0.202531645570,0,NA,0x0,0xD,0,0
0,32,7,0xF559DB8B509345F2,0x9,184,0.173913043478,0,NA,0x0,0xB,0,0
0,40,0,0xF559DB8B509345F2,0x9,257,0.155642023346,1,0xF,0x6,0x6,1,1
0,40,1,0xF559DB8B509345F2,0x9,271,0.147601476015,1,0x3,0xA,0xA,1,1
0,40,2,0xF559DB8B509345F2,0x9,250,0.160000000000,1,0x8,0x1,0x1,1,1
0,40,3,0xF559DB8B509345F2,0x9,278,0.143884892086,2,NA,0x0,0x7,0,0
0,40,4,0xF559DB8B509345F2,0x9,242,0.165289256198,0,NA,0x0,0xD,0,0
0,40,5,0xF559DB8B509345F2,0x9,195,0.205128205128,0,NA,0x0,0x6,0,0
0,40,6,0xF559DB8B509345F2,0x9,233,0.171673819742,0,NA,0x0,0xD,0,0
0,40,7,0xF559DB8B509345F2,0x9,229,0.174672489083,0,NA,0x0,0xB,0,0
0,48,0,0xF559DB8B509345F2,0x9,297,0.161616161616,1,0xF,0x6,0x6,1,1
0,48,1,0xF559DB8B509345F2,0x9,303,0.158415841584,1,0x3,0xA,0xA,1,1
0,48,2,0xF559DB8B509345F2,0x9,292,0.164383561644,1,0x8,0x1,0x1,1,1
0,48,3,0xF559DB8B509345F2,0x9,326,0.147239263804,2,NA,0x0,0x7,0,0
0,48,4,0xF559DB8B509345F2,0x9,275,0.174545454545,0,NA,0x0,0xD,0,0
0,48,5,0xF559DB8B509345F2,0x9,244,0.196721311475,0,NA,0x0,0x6,0,0
0,48,6,0xF559DB8B509345F2,0x9,291,0.164948453608,0,NA,0x0,0xD,0,0
0,48,7,0xF559DB8B509345F2,0x9,276,0.173913043478,0,NA,0x0,0xB,0,0
0,56,0,0xF559DB8B509345F2,0x9,369,0.151761517615,1,0xF,0x6,0x6,1,1
0,56,1,0xF559DB8B509345F2,0x9,346,0.161849710983,1,0x3,0xA,0xA,1,1
0,56,2,0xF559DB8B509345F2,0x9,354,0.158192090395,1,0x8,0x1,0x1,1,1
0,56,3,0xF559DB8B509345F2,0x9,353,0.158640226629,1,0xE,0x7,0x7,1,1
0,56,4,0xF559DB8B509345F2,0x9,298,0.187919463087,1,0x4,0xD,0xD,1,1
0,56,5,0xF559DB8B509345F2,0x9,312,0.179487179487,1,0xF,0x6,0x6,1,1
0,56,6,0xF559DB8B509345F2,0x9,322,0.173913043478,1,0x4,0xD,0xD,1,1
0,56,7,0xF559DB8B509345F2,0x9,305,0.183606557377,1,0x2,0xB,0xB,1,1
0,64,0,0xF559DB8B509345F2,0x9,387,0.165374677003,1,0xF,0x6,0x6,1,1
0,64,1,0xF559DB8B509345F2,0x9,396,0.161616161616,1,0x3,0xA,0xA,1,1
0,64,2,0xF559DB8B509345F2,0x9,386,0.165803108808,1,0x8,0x1,0x1,1,1
0,64,3,0xF559DB8B509345F2,0x9,399,0.160401002506,1,0xE,0x7,0x7,1,1
0,64,4,0xF559DB8B509345F2,0x9,343,0.186588921283,1,0x4,0xD,0xD,1,1
0,64,5,0xF559DB8B509345F2,0x9,352,0.181818181818,1,0xF,0x6,0x6,1,1
0,64,6,0xF559DB8B509345F2,0x9,367,0.174386920981,1,0x4,0xD,0xD,1,1
0,64,7,0xF559DB8B509345F2,0x9,374,0.171122994652,1,0x2,0xB,0xB,1,1
0,72,0,0xF559DB8B509345F2,0x9,449,0.160356347439,1,0xF,0x6,0x6,1,1
0,72,1,0xF559DB8B509345F2,0x9,427,0.168618266979,1,0x3,0xA,0xA,1,1
0,72,2,0xF559DB8B509345F2,0x9,406,0.177339901478,1,0x8,0x1,0x1,1,1
0,72,3,0xF559DB8B509345F2,0x9,454,0.158590308370,1,0xE,0x7,0x7,1,1
0,72,4,0xF559DB8B509345F2,0x9,382,0.188481675393,1,0x4,0xD,0xD,1,1
0,72,5,0xF559DB8B509345F2,0x9,388,0.185567010309,1,0xF,0x6,0x6,1,1
0,72,6,0xF559DB8B509345F2,0x9,410,0.175609756098,1,0x4,0xD,0xD,1,1
0,72,7,0xF559DB8B509345F2,0x9,423,0.170212765957,1,0x2,0xB,0xB,1,1
0,80,0,0xF559DB8B509345F2,0x9,509,0.157170923379,1,0xF,0x6,0x6,1,1
0,80,1,0xF559DB8B509345F2,0x9,477,0.167714884696,1,0x3,0xA,0xA,1,1
0,80,2,0xF559DB8B509345F2,0x9,489,0.163599182004,1,0x8,0x1,0x1,1,1
0,80,3,0xF559DB8B509345F2,0x9,542,0.147601476015,1,0xE,0x7,0x7,1,1
0,80,4,0xF559DB8B509345F2,0x9,429,0.186480186480,1,0x4,0xD,0xD,1,1
0,80,5,0xF559DB8B509345F2,0x9,432,0.185185185185,1,0xF,0x6,0x6,1,1
0,80,6,0xF559DB8B509345F2,0x9,450,0.177777777778,1,0x4,0xD,0xD,1,1
0,80,7,0xF559DB8B509345F2,0x9,486,0.164609053498,1,0x2,0xB,0xB,1,1
0,96,0,0xF559DB8B509345F2,0x9,628,0.152866242038,1,0xF,0x6,0x6,1,1
0,96,1,0xF559DB8B509345F2,0x9,552,0.173913043478,1,0x3,0xA,0xA,1,1
0,96,2,0xF559DB8B509345F2,0x9,573,0.167539267016,1,0x8,0x1,0x1,1,1
0,96,3,0xF559DB8B509345F2,0x9,637,0.150706436421,1,0xE,0x7,0x7,1,1
0,96,4,0xF559DB8B509345F2,0x9,549,0.174863387978,1,0x4,0xD,0xD,1,1
0,96,5,0xF559DB8B509345F2,0x9,563,0.170515097691,1,0xF,0x6,0x6,1,1
0,96,6,0xF559DB8B509345F2,0x9,526,0.182509505703,1,0x4,0xD,0xD,1,1
0,96,7,0xF559DB8B509345F2,0x9,567,0.169312169312,1,0x2,0xB,0xB,1,1
