candidate_index,packed_active_words,value,count,is_missing
0,0x3B37E,0x0,32,0
0,0x3B37E,0x1,42,0
0,0x3B37E,0x2,35,0
0,0x3B37E,0x3,27,0
0,0x3B37E,0x4,0,1
0,0x3B37E,0x5,40,0
0,0x3B37E,0x6,28,0
0,0x3B37E,0x7,44,0
0,0x3B37E,0x8,32,0
0,0x3B37E,0x9,34,0
0,0x3B37E,0xA,33,0
0,0x3B37E,0xB,39,0
0,0x3B37E,0xC,36,0
0,0x3B37E,0xD,38,0
0,0x3B37E,0xE,31,0
0,0x3B37E,0xF,21,0
1,0x3B77E,0x0,42,0
1,0x3B77E,0x1,32,0
1,0x3B77E,0x2,27,0
1,0x3B77E,0x3,35,0
1,0x3B77E,0x4,40,0
1,0x3B77E,0x5,0,1
1,0x3B77E,0x6,44,0
1,0x3B77E,0x7,28,0
1,0x3B77E,0x8,34,0
1,0x3B77E,0x9,32,0
1,0x3B77E,0xA,39,0
1,0x3B77E,0xB,33,0
1,0x3B77E,0xC,38,0
1,0x3B77E,0xD,36,0
1,0x3B77E,0xE,21,0
1,0x3B77E,0xF,31,0
2,0x3BB7E,0x0,42,0
2,0x3BB7E,0x1,32,0
2,0x3BB7E,0x2,27,0
2,0x3BB7E,0x3,35,0
2,0x3BB7E,0x4,40,0
2,0x3BB7E,0x5,0,1
2,0x3BB7E,0x6,44,0
2,0x3BB7E,0x7,28,0
2,0x3BB7E,0x8,34,0
2,0x3BB7E,0x9,32,0
2,0x3BB7E,0xA,39,0
2,0x3BB7E,0xB,33,0
2,0x3BB7E,0xC,38,0
2,0x3BB7E,0xD,36,0
2,0x3BB7E,0xE,21,0
2,0x3BB7E,0xF,31,0
3,0x3BF7E,0x0,32,0
3,0x3BF7E,0x1,42,0
3,0x3BF7E,0x2,35,0
3,0x3BF7E,0x3,27,0
3,0x3BF7E,0x4,0,1
3,0x3BF7E,0x5,40,0
3,0x3BF7E,0x6,28,0
3,0x3BF7E,0x7,44,0
3,0x3BF7E,0x8,32,0
3,0x3BF7E,0x9,34,0
3,0x3BF7E,0xA,33,0
3,0x3BF7E,0xB,39,0
3,0x3BF7E,0xC,36,0
3,0x3BF7E,0xD,38,0
3,0x3BF7E,0xE,31,0
3,0x3BF7E,0xF,21,0
