trial,samples,filter_executed,role,source_sbox,known_mask,known_value,actual_word,known_bits,consensus_correct
0,64,0,0,255,0x0,0x0,0x3,0,0
0,64,0,1,255,0x0,0x0,0x4,0,0
0,64,0,2,255,0x0,0x0,0x9,0,0
0,64,0,3,255,0x0,0x0,0xA,0,0
0,64,0,4,255,0x0,0x0,0x2,0,0
0,96,1,0,6,0x0,0x0,0x3,0,1
0,96,1,1,7,0x0,0x0,0x4,0,1
0,96,1,2,1,0x0,0x0,0x9,0,1
0,96,1,3,2,0x0,0x0,0xA,0,1
0,96,1,4,3,0x0,0x0,0x2,0,1
0,128,1,0,6,0x0,0x0,0x3,0,1
0,128,1,1,7,0x0,0x0,0x4,0,1
0,128,1,2,1,0x0,0x0,0x9,0,1
0,128,1,3,2,0x0,0x0,0xA,0,1
0,128,1,4,3,0x0,0x0,0x2,0,1
0,160,1,0,6,0x0,0x0,0x3,0,1
0,160,1,1,7,0x0,0x0,0x4,0,1
0,160,1,2,1,0x0,0x0,0x9,0,1
0,160,1,3,2,0x0,0x0,0xA,0,1
0,160,1,4,3,0x0,0x0,0x2,0,1
0,192,1,0,6,0x0,0x0,0x3,0,1
0,192,1,1,7,0x0,0x0,0x4,0,1
0,192,1,2,1,0x0,0x0,0x9,0,1
0,192,1,3,2,0x0,0x0,0xA,0,1
0,192,1,4,3,0x0,0x0,0x2,0,1
0,256,1,0,6,0x5,0x1,0x3,2,1
0,256,1,1,7,0x5,0x4,0x4,2,1
0,256,1,2,1,0x2,0x0,0x9,1,1
0,256,1,3,2,0x1,0x0,0xA,1,1
0,256,1,4,3,0x7,0x2,0x2,3,1
0,320,1,0,6,0xF,0x3,0x3,4,1
0,320,1,1,7,0xF,0x4,0x4,4,1
0,320,1,2,1,0x3,0x1,0x9,2,1
0,320,1,3,2,0xF,0xA,0xA,4,1
0,320,1,4,3,0xF,0x2,0x2,4,1
0,384,1,0,6,0xF,0x3,0x3,4,1
0,384,1,1,7,0xF,0x4,0x4,4,1
0,384,1,2,1,0x3,0x1,0x9,2,1
0,384,1,3,2,0xF,0xA,0xA,4,1
0,384,1,4,3,0xF,0x2,0x2,4,1
0,512,1,0,6,0xF,0x3,0x3,4,1
0,512,1,1,7,0xF,0x4,0x4,4,1
0,512,1,2,1,0x3,0x1,0x9,2,1
0,512,1,3,2,0xF,0xA,0xA,4,1
0,512,1,4,3,0xF,0x2,0x2,4,1
1,64,0,0,255,0x0,0x0,0xA,0,0
1,64,0,1,255,0x0,0x0,0x2,0,0
1,64,0,2,255,0x0,0x0,0xC,0,0
1,64,0,3,255,0x0,0x0,0x6,0,0
1,64,0,4,255,0x0,0x0,0x2,0,0
1,96,0,0,255,0x0,0x0,0xA,0,0
1,96,0,1,255,0x0,0x0,0x2,0,0
1,96,0,2,255,0x0,0x0,0xC,0,0
1,96,0,3,255,0x0,0x0,0x6,0,0
1,96,0,4,255,0x0,0x0,0x2,0,0
1,128,1,0,1,0x0,0x0,0xA,0,1
1,128,1,1,2,0x0,0x0,0x2,0,1
1,128,1,2,4,0x0,0x0,0xC,0,1
1,128,1,3,5,0x0,0x0,0x6,0,1
1,128,1,4,6,0x0,0x0,0x2,0,1
1,160,1,0,1,0x0,0x0,0xA,0,1
1,160,1,1,2,0x0,0x0,0x2,0,1
1,160,1,2,4,0x0,0x0,0xC,0,1
1,160,1,3,5,0x0,0x0,0x6,0,1
1,160,1,4,6,0x0,0x0,0x2,0,1
1,192,1,0,1,0x0,0x0,0xA,0,1
1,192,1,1,2,0x0,0x0,0x2,0,1
1,192,1,2,4,0x0,0x0,0xC,0,1
1,192,1,3,5,0x0,0x0,0x6,0,1
1,192,1,4,6,0x0,0x0,0x2,0,1
1,256,1,0,1,0xF,0xA,0xA,4,1
1,256,1,1,2,0xF,0x2,0x2,4,1
1,256,1,2,4,0x3,0x0,0xC,2,1
1,256,1,3,5,0xF,0x6,0x6,4,1
