trial,samples,master_seed,trial_seed,key,secret_sbox,secret_delta,actual_sk28,actual_active_key,expected_public_missing,total_queries,empirical_rate,theoretical_rate,global_missing_count,detected_sbox,detected_missing,localization_success,filter_executed,tested_candidates,candidate_sample_evaluations,surviving_candidates,actual_candidate_present,recovered_active_bits,consensus_correct,delta_recovered,recovered_delta,delta_success,target_outcome_success,estimated_filter_cpu_seconds
0,64,0x5343454E45525932,0xF336F315FD08B629,2D8D22681EC6F73B1DBB,7,0x4,0x426DB137,0x2A943,0x0,376,0.170212765957,0.164132936375,3,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
0,96,0x5343454E45525932,0xF336F315FD08B629,2D8D22681EC6F73B1DBB,7,0x4,0x426DB137,0x2A943,0x0,535,0.179439252336,0.164132936375,1,7,0x0,1,1,1048576,55912656,26504,1,0,1,0,NA,0,0,0.064985
0,128,0x5343454E45525932,0xF336F315FD08B629,2D8D22681EC6F73B1DBB,7,0x4,0x426DB137,0x2A943,0x0,683,0.187408491947,0.164132936375,1,7,0x0,1,1,1048576,56283156,3432,1,0,1,0,NA,0,0,0.065415
0,160,0x5343454E45525932,0xF336F315FD08B629,2D8D22681EC6F73B1DBB,7,0x4,0x426DB137,0x2A943,0x0,859,0.186263096624,0.164132936375,1,7,0x0,1,1,1048576,56327840,340,1,0,1,0,NA,0,0,0.065467
0,192,0x5343454E45525932,0xF336F315FD08B629,2D8D22681EC6F73B1DBB,7,0x4,0x426DB137,0x2A943,0x0,1072,0.179104477612,0.164132936375,1,7,0x0,1,1,1048576,56332472,44,1,0,1,0,NA,0,0,0.065473
0,256,0x5343454E45525932,0xF336F315FD08B629,2D8D22681EC6F73B1DBB,7,0x4,0x426DB137,0x2A943,0x0,1513,0.169200264375,0.164132936375,1,7,0x0,1,1,1048576,56333372,8,1,9,1,0,NA,0,0,0.065474
0,320,0x5343454E45525932,0xF336F315FD08B629,2D8D22681EC6F73B1DBB,7,0x4,0x426DB137,0x2A943,0x0,1902,0.168243953733,0.164132936375,1,7,0x0,1,1,1048576,56333660,4,1,18,1,1,0x4,1,1,0.065474
0,384,0x5343454E45525932,0xF336F315FD08B629,2D8D22681EC6F73B1DBB,7,0x4,0x426DB137,0x2A943,0x0,2247,0.170894526035,0.164132936375,1,7,0x0,1,1,1048576,56333916,4,1,18,1,1,0x4,1,1,0.065474
0,512,0x5343454E45525932,0xF336F315FD08B629,2D8D22681EC6F73B1DBB,7,0x4,0x426DB137,0x2A943,0x0,2978,0.171927468099,0.164132936375,1,7,0x0,1,1,1048576,56334428,4,1,18,1,1,0x4,1,1,0.065475
1,64,0x5343454E45525932,0xBE7BE64E9F35FE51,94F734E6CAAB465FFBAF,2,0x3,0x0967B81B,0x26C2A,0x1,446,0.143497757848,0.164132936375,4,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
1,96,0x5343454E45525932,0xBE7BE64E9F35FE51,94F734E6CAAB465FFBAF,2,0x3,0x0967B81B,0x26C2A,0x1,604,0.158940397351,0.164132936375,2,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
1,128,0x5343454E45525932,0xBE7BE64E9F35FE51,94F734E6CAAB465FFBAF,2,0x3,0x0967B81B,0x26C2A,0x1,800,0.160000000000,0.164132936375,1,2,0x1,1,1,1048576,56262580,4244,1,0,1,0,NA,0,0,0.064601
1,160,0x5343454E45525932,0xBE7BE64E9F35FE51,94F734E6CAAB465FFBAF,2,0x3,0x0967B81B,0x26C2A,0x1,978,0.163599182004,0.164132936375,1,2,0x1,1,1,1048576,56317896,572,1,0,1,0,NA,0,0,0.064665
1,192,0x5343454E45525932,0xBE7BE64E9F35FE51,94F734E6CAAB465FFBAF,2,0x3,0x0967B81B,0x26C2A,0x1,1157,0.165946413137,0.164132936375,1,2,0x1,1,1,1048576,56326020,72,1,0,1,0,NA,0,0,0.064674
