target_sbox,value,count,is_minimum,is_theoretical_target
0,0x0,2040,0,0
0,0x1,2099,0,0
0,0x2,2103,0,0
0,0x3,2074,0,0
0,0x4,2088,0,0
0,0x5,2063,0,0
0,0x6,2010,0,0
0,0x7,2060,0,0
0,0x8,2040,0,0
0,0x9,2147,0,0
0,0xA,2096,0,0
0,0xB,1986,0,0
0,0xC,2101,0,0
0,0xD,2082,0,0
0,0xE,1672,1,1
0,0xF,2107,0,0
1,0x0,2051,0,0
1,0x1,2178,0,0
1,0x2,2019,0,0
1,0x3,2078,0,0
1,0x4,2049,0,0
1,0x5,2096,0,0
1,0x6,1637,1,1
1,0x7,2071,0,0
1,0x8,2029,0,0
1,0x9,2106,0,0
1,0xA,2070,0,0
1,0xB,2095,0,0
1,0xC,2047,0,0
1,0xD,2067,0,0
1,0xE,2046,0,0
1,0xF,2129,0,0
2,0x0,2044,0,0
2,0x1,2093,0,0
2,0x2,2059,0,0
2,0x3,2048,0,0
2,0x4,2098,0,0
2,0x5,2017,0,0
2,0x6,2010,0,0
2,0x7,2129,0,0
2,0x8,2072,0,0
2,0x9,2197,0,0
2,0xA,2080,0,0
2,0xB,2068,0,0
2,0xC,2031,0,0
2,0xD,2034,0,0
2,0xE,2043,0,0
2,0xF,1745,1,1
3,0x0,2092,0,0
3,0x1,2129,0,0
3,0x2,2047,0,0
3,0x3,2152,0,0
3,0x4,2088,0,0
3,0x5,2082,0,0
3,0x6,1989,0,0
3,0x7,2124,0,0
3,0x8,1961,0,0
3,0x9,1740,1,1
3,0xA,2057,0,0
3,0xB,2133,0,0
3,0xC,2058,0,0
3,0xD,2034,0,0
3,0xE,2030,0,0
3,0xF,2052,0,0
4,0x0,2119,0,0
4,0x1,2083,0,0
4,0x2,2042,0,0
4,0x3,2075,0,0
4,0x4,2086,0,0
4,0x5,2045,0,0
4,0x6,2089,0,0
4,0x7,2098,0,0
4,0x8,2055,0,0
4,0x9,2089,0,0
4,0xA,2070,0,0
4,0xB,1694,1,1
4,0xC,2069,0,0
4,0xD,2069,0,0
4,0xE,2075,0,0
4,0xF,2010,0,0
5,0x0,2069,0,0
5,0x1,2147,0,0
5,0x2,1714,1,1
5,0x3,2086,0,0
5,0x4,1995,0,0
5,0x5,2058,0,0
5,0x6,2107,0,0
5,0x7,2118,0,0
5,0x8,2033,0,0
5,0x9,2104,0,0
5,0xA,2127,0,0
5,0xB,2042,0,0
5,0xC,2018,0,0
5,0xD,2070,0,0
5,0xE,2098,0,0
5,0xF,1982,0,0
6,0x0,2077,0,0
6,0x1,2020,0,0
6,0x2,2070,0,0
6,0x3,2043,0,0
6,0x4,2111,0,0
6,0x5,1774,1,1
6,0x6,2047,0,0
6,0x7,2058,0,0
6,0x8,2077,0,0
6,0x9,2012,0,0
6,0xA,2085,0,0
6,0xB,2073,0,0
6,0xC,2052,0,0
6,0xD,2073,0,0
6,0xE,2105,0,0
6,0xF,2091,0,0
7,0x0,2104,0,0
7,0x1,2008,0,0
7,0x2,1999,0,0
7,0x3,2037,0,0
7,0x4,1994,0,0
7,0x5,2077,0,0
7,0x6,2071,0,0
7,0x7,2097,0,0
7,0x8,2071,0,0
7,0x9,2181,0,0
7,0xA,2078,0,0
7,0xB,2075,0,0
7,0xC,2090,0,0
7,0xD,2057,0,0
7,0xE,1762,1,1
7,0xF,2067,0,0
