samples_per_sbox,trials,mean_of_campaign_mean_gap,std_of_campaign_mean_gap,mean_of_trial_min_gap,std_of_trial_min_gap,mean_of_trial_max_gap,std_of_trial_max_gap
512,100,2.991512,0.855303,1.130000,0.337998,6.060000,2.029181
1024,100,4.814488,1.429313,1.280000,0.620850,10.740000,3.517977
1536,100,6.759714,1.870984,1.540000,0.821676,15.380000,5.210285
2048,100,8.760238,2.400836,1.780000,1.059636,19.850000,6.133819
3072,100,14.190179,3.605322,2.800000,2.300637,29.380000,7.594230
4096,100,20.591369,4.809650,4.450000,3.710142,40.450000,9.797315
6144,100,35.230893,7.140166,10.750000,7.888587,62.260000,12.878312
8192,100,51.167500,8.583238,18.820000,12.093391,83.730000,15.721603
12288,100,87.002500,11.062352,44.610000,20.944320,128.190000,16.647683
16384,100,123.533750,12.107393,74.570000,23.741986,168.500000,18.800655
24576,100,199.081250,14.297992,139.650000,24.059008,258.480000,25.652093
32768,100,278.573750,16.179052,208.550000,31.969169,349.750000,27.781752
