samples_per_sbox,sbox,trials,word_successes,word_success_rate,unique_minimum_rate,mean_minimum_gap,std_minimum_gap
512,0,100,25,0.250000000,0.860000000,3.000000,1.792239
512,1,100,24,0.240000000,0.850000000,3.060000,2.044060
512,2,100,19,0.190000000,0.850000000,2.840000,2.043566
512,3,100,26,0.260000000,0.880000000,2.940000,2.154722
512,4,100,24,0.240000000,0.830000000,2.970000,2.066838
512,5,100,23,0.230000000,0.810000000,2.820000,2.217379
512,6,100,27,0.270000000,0.810000000,2.990000,2.002498
512,7,100,23,0.230000000,0.880000000,2.890000,1.984256
1024,0,100,39,0.390000000,0.930000000,4.870000,3.631109
1024,1,100,43,0.430000000,0.940000000,4.710000,3.674358
1024,2,100,42,0.420000000,0.930000000,4.410000,3.393681
1024,3,100,36,0.360000000,0.910000000,4.870000,3.894194
1024,4,100,41,0.410000000,0.900000000,4.280000,3.763407
1024,5,100,42,0.420000000,0.930000000,5.120000,3.916502
1024,6,100,42,0.420000000,0.900000000,4.070000,3.226328
1024,7,100,33,0.330000000,0.900000000,4.980000,3.749694
1536,0,100,41,0.410000000,0.890000000,6.140000,5.235890
1536,1,100,62,0.620000000,0.930000000,6.680000,5.851496
1536,2,100,59,0.590000000,0.950000000,6.320000,5.335000
1536,3,100,50,0.500000000,0.890000000,5.940000,4.783853
1536,4,100,53,0.530000000,0.930000000,7.020000,4.994906
1536,5,100,49,0.490000000,0.990000000,7.170000,5.477327
1536,6,100,55,0.550000000,0.900000000,6.680000,4.724490
1536,7,100,46,0.460000000,0.950000000,6.710000,5.326312
2048,0,100,63,0.630000000,0.950000000,7.890000,6.394276
2048,1,100,61,0.610000000,0.950000000,7.890000,6.783663
2048,2,100,60,0.600000000,0.950000000,8.830000,7.329276
2048,3,100,63,0.630000000,0.940000000,8.950000,6.114026
2048,4,100,59,0.590000000,0.930000000,8.810000,7.202265
2048,5,100,60,0.600000000,0.940000000,8.950000,6.341104
2048,6,100,65,0.650000000,0.980000000,8.840000,6.416078
2048,7,100,57,0.570000000,0.930000000,8.100000,7.067496
3072,0,100,76,0.760000000,0.990000000,12.850000,9.784935
3072,1,100,76,0.760000000,0.990000000,13.310000,8.845126
3072,2,100,75,0.750000000,0.980000000,13.770000,9.584136
3072,3,100,72,0.720000000,0.970000000,15.360000,11.774412
3072,4,100,76,0.760000000,0.970000000,13.790000,10.183464
3072,5,100,84,0.840000000,0.990000000,13.530000,8.908576
3072,6,100,76,0.760000000,0.950000000,15.280000,10.253435
3072,7,100,68,0.680000000,0.950000000,13.550000,9.688455
4096,0,100,83,0.830000000,0.970000000,19.880000,14.135906
4096,1,100,83,0.830000000,0.990000000,18.660000,12.812730
4096,2,100,92,0.920000000,0.980000000,19.110000,12.524638
4096,3,100,83,0.830000000,0.990000000,22.630000,14.429666
4096,4,100,88,0.880000000,1.000000000,19.680000,12.336101
4096,5,100,86,0.860000000,0.980000000,20.260000,12.372681
4096,6,100,86,0.860000000,0.980000000,22.970000,13.231013
4096,7,100,84,0.840000000,0.980000000,19.700000,14.409943
6144,0,100,89,0.890000000,0.980000000,32.670000,19.234888
6144,1,100,96,0.960000000,0.990000000,33.540000,18.961109
6144,2,100,95,0.950000000,1.000000000,34.440000,18.875627
6144,3,100,91,0.910000000,0.990000000,37.980000,19.936759
6144,4,100,97,0.970000000,1.000000000,35.680000,16.810218
6144,5,100,97,0.970000000,1.000000000,35.500000,17.770990
6144,6,100,95,0.950000000,0.990000000,38.480000,19.210940
6144,7,100,94,0.940000000,1.000000000,32.210000,20.698556
8192,0,100,97,0.970000000,0.990000000,46.640000,24.088020
8192,1,100,99,0.990000000,0.990000000,48.660000,21.757720
8192,2,100,100,1.000000000,1.000000000,48.540000,23.084132
8192,3,100,98,0.980000000,1.000000000,53.960000,23.750777
8192,4,100,99,0.990000000,1.000000000,53.460000,21.180523
8192,5,100,100,1.000000000,1.000000000,51.860000,23.848012
8192,6,100,100,1.000000000,1.000000000,56.960000,22.550469
8192,7,100,97,0.970000000,1.000000000,48.610000,23.453756
12288,0,100,98,0.980000000,1.000000000,81.770000,29.840267
12288,1,100,100,1.000000000,1.000000000,82.860000,29.546409
12288,2,100,100,1.000000000,1.000000000,83.080000,28.787511
12288,3,100,98,0.980000000,1.000000000,89.620000,31.913007
12288,4,100,99,0.990000000,1.000000000,92.720000,27.083515
12288,5,100,100,1.000000000,1.000000000,91.310000,26.158682
12288,6,100,100,1.000000000,1.000000000,92.150000,28.041591
12288,7,100,99,0.990000000,1.000000000,82.510000,31.109288
16384,0,100,99,0.990000000,1.000000000,118.410000,36.274792
16384,1,100,100,1.000000000,1.000000000,121.890000,33.518243
16384,2,100,100,1.000000000,1.000000000,119.380000,31.704373
16384,3,100,100,1.000000000,1.000000000,123.460000,32.217512
16384,4,100,100,1.000000000,1.000000000,132.840000,30.507399
16384,5,100,100,1.000000000,1.000000000,129.410000,29.589820
16384,6,100,100,1.000000000,1.000000000,127.030000,33.261272
16384,7,100,100,1.000000000,1.000000000,115.850000,34.728202
24576,0,100,100,1.000000000,1.000000000,192.680000,42.771387
24576,1,100,100,1.000000000,1.000000000,195.440000,44.385210
24576,2,100,100,1.000000000,1.000000000,198.100000,41.994829
24576,3,100,100,1.000000000,1.000000000,199.950000,40.037955
24576,4,100,100,1.000000000,1.000000000,207.070000,37.502122
24576,5,100,100,1.000000000,1.000000000,205.600000,34.560736
24576,6,100,100,1.000000000,1.000000000,202.890000,41.305194
24576,7,100,100,1.000000000,1.000000000,190.920000,45.961266
32768,0,100,100,1.000000000,1.000000000,273.690000,49.687243
32768,1,100,100,1.000000000,1.000000000,269.440000,53.005683
32768,2,100,100,1.000000000,1.000000000,275.650000,48.653667
32768,3,100,100,1.000000000,1.000000000,278.390000,48.261890
32768,4,100,100,1.000000000,1.000000000,290.150000,40.705241
32768,5,100,100,1.000000000,1.000000000,290.150000,46.752383
32768,6,100,100,1.000000000,1.000000000,283.380000,49.859151
32768,7,100,100,1.000000000,1.000000000,267.740000,52.812728
