samples_per_sbox,total_public_outputs,trials,full_key_successes,full_key_success_rate,full_key_ci95_low,full_key_ci95_high,word_successes,word_trials,word_success_rate,word_ci95_low,word_ci95_high,mean_correct_words_of_8,std_correct_words,mean_unique_minimum_words_of_8,std_unique_minimum_words,mean_empirical_ineffective_rate,std_empirical_ineffective_rate,mean_absolute_rate_error,std_absolute_rate_error
512,4096,100,0,0.000000000,0.000000000,0.036993498,191,800,0.238750000,0.210500821,0.269496142,1.910000,1.318823,6.770000,0.962478,0.162775878906,0.005695542272,0.004468901584,0.003758536863
1024,8192,100,0,0.000000000,0.000000000,0.036993498,318,800,0.397500000,0.364155667,0.431824003,3.180000,1.217548,7.340000,0.781348,0.164034423828,0.004144324563,0.003329890101,0.002446438034
1536,12288,100,1,0.010000000,0.001767432,0.054486196,415,800,0.518750000,0.484119884,0.553200909,4.150000,1.373450,7.430000,0.807227,0.164027506510,0.003162314844,0.002424849627,0.002017962909
2048,16384,100,2,0.020000000,0.005501968,0.070011791,488,800,0.610000000,0.575752358,0.643196290,4.880000,1.350496,7.570000,0.573048,0.164335327148,0.002706197225,0.002171677138,0.001612780026
3072,24576,100,7,0.070000000,0.034319261,0.137495147,603,800,0.753750000,0.722729942,0.782344779,6.030000,1.149923,7.790000,0.409360,0.164266357422,0.002152873204,0.001648137243,0.001381683647
4096,32768,100,26,0.260000000,0.184046985,0.353709894,685,800,0.856250000,0.830234753,0.878860297,6.850000,0.998737,7.870000,0.393251,0.164122009277,0.001951936760,0.001553696181,0.001171248201
6144,49152,100,59,0.590000000,0.492014301,0.681326870,754,800,0.942500000,0.924153989,0.956616705,7.540000,0.610017,7.950000,0.219043,0.164154052734,0.001741656925,0.001387751429,0.001043317856
8192,65536,100,90,0.900000000,0.825634338,0.944770863,790,800,0.987500000,0.977144292,0.993196303,7.900000,0.301511,7.980000,0.140705,0.164319915771,0.001505519256,0.001183763103,0.000941516378
12288,98304,100,94,0.940000000,0.875231846,0.972213876,794,800,0.992500000,0.983734526,0.996558281,7.940000,0.238683,8.000000,0.000000,0.164192199707,0.000978193810,0.000780300710,0.000587700057
16384,131072,100,99,0.990000000,0.945513804,0.998232568,799,800,0.998750000,0.992953761,0.999779310,7.990000,0.100000,8.000000,0.000000,0.164192657471,0.000803962247,0.000662700051,0.000454258184
24576,196608,100,100,1.000000000,0.963006502,1.000000000,800,800,1.000000000,0.995221124,1.000000000,8.000000,0.000000,8.000000,0.000000,0.164080810547,0.000831503641,0.000667256004,0.000494383454
32768,262144,100,100,1.000000000,0.963006502,1.000000000,800,800,1.000000000,0.995221124,1.000000000,8.000000,0.000000,8.000000,0.000000,0.164097366333,0.000707170174,0.000594095531,0.000380595607
