position,rank,packed_active_words,word_A,word_B,word_C,word_D,word_E,delta_candidate,score_numerator,sei,is_maximum,is_actual
1,1,0x3B37E,0xE,0x7,0x3,0xB,0x3,0xB,8340224,0.000121366232634,1,0
2,1,0x3B77E,0xE,0x7,0x7,0xB,0x3,0xB,8340224,0.000121366232634,1,0
3,1,0x3BB7E,0xE,0x7,0xB,0xB,0x3,0xB,8340224,0.000121366232634,1,1
4,1,0x3BF7E,0xE,0x7,0xF,0xB,0x3,0xB,8340224,0.000121366232634,1,0
5,5,0x3737E,0xE,0x7,0x3,0x7,0x3,0xB,6884000,0.000100175384432,0,0
6,5,0x3777E,0xE,0x7,0x7,0x7,0x3,0xB,6884000,0.000100175384432,0,0
7,5,0x37B7E,0xE,0x7,0xB,0x7,0x3,0xB,6884000,0.000100175384432,0,0
8,5,0x37F7E,0xE,0x7,0xF,0x7,0x3,0xB,6884000,0.000100175384432,0,0
9,9,0x3B36E,0xE,0x6,0x3,0xB,0x3,0xA,5781600,8.41333530843e-05,0,0
10,9,0x3B76E,0xE,0x6,0x7,0xB,0x3,0xA,5781600,8.41333530843e-05,0,0
11,9,0x3BB6E,0xE,0x6,0xB,0xB,0x3,0xA,5781600,8.41333530843e-05,0,0
12,9,0x3BF6E,0xE,0x6,0xF,0xB,0x3,0xA,5781600,8.41333530843e-05,0,0
13,13,0x3B37F,0xF,0x7,0x3,0xB,0x3,0xB,5681024,8.26697796583e-05,0,0
14,13,0x3B77F,0xF,0x7,0x7,0xB,0x3,0xB,5681024,8.26697796583e-05,0,0
15,13,0x3BB7F,0xF,0x7,0xB,0xB,0x3,0xB,5681024,8.26697796583e-05,0,0
16,13,0x3BF7F,0xF,0x7,0xF,0xB,0x3,0xB,5681024,8.26697796583e-05,0,0
17,17,0x3B32E,0xE,0x2,0x3,0xB,0x3,0xE,5330976,7.75759108365e-05,0,0
18,17,0x3B72E,0xE,0x2,0x7,0xB,0x3,0xE,5330976,7.75759108365e-05,0,0
19,17,0x3BB2E,0xE,0x2,0xB,0xB,0x3,0xE,5330976,7.75759108365e-05,0,0
20,17,0x3BF2E,0xE,0x2,0xF,0xB,0x3,0xE,5330976,7.75759108365e-05,0,0
21,21,0xCB37E,0xE,0x7,0x3,0xB,0xC,0xB,5310336,7.72755593061e-05,0,0
22,21,0xCB77E,0xE,0x7,0x7,0xB,0xC,0xB,5310336,7.72755593061e-05,0,0
23,21,0xCBB7E,0xE,0x7,0xB,0xB,0xC,0xB,5310336,7.72755593061e-05,0,0
24,21,0xCBF7E,0xE,0x7,0xF,0xB,0xC,0xB,5310336,7.72755593061e-05,0,0
25,25,0x3B33E,0xE,0x3,0x3,0xB,0x3,0xF,5222016,7.59903341532e-05,0,0
26,25,0x3B73E,0xE,0x3,0x7,0xB,0x3,0xF,5222016,7.59903341532e-05,0,0
27,25,0x3BB3E,0xE,0x3,0xB,0xB,0x3,0xF,5222016,7.59903341532e-05,0,0
28,25,0x3BF3E,0xE,0x3,0xF,0xB,0x3,0xF,5222016,7.59903341532e-05,0,0
29,29,0xFB37E,0xE,0x7,0x3,0xB,0xF,0xB,5159584,7.50818289816e-05,0,0
30,29,0xFB77E,0xE,0x7,0x7,0xB,0xF,0xB,5159584,7.50818289816e-05,0,0
31,29,0xFBB7E,0xE,0x7,0xB,0xB,0xF,0xB,5159584,7.50818289816e-05,0,0
32,29,0xFBF7E,0xE,0x7,0xF,0xB,0xF,0xB,5159584,7.50818289816e-05,0,0
33,33,0x3736E,0xE,0x6,0x3,0x7,0x3,0xA,5129440,7.4643176049e-05,0,0
34,33,0x3776E,0xE,0x6,0x7,0x7,0x3,0xA,5129440,7.4643176049e-05,0,0
35,33,0x37B6E,0xE,0x6,0xB,0x7,0x3,0xA,5129440,7.4643176049e-05,0,0
36,33,0x37F6E,0xE,0x6,0xF,0x7,0x3,0xA,5129440,7.4643176049e-05,0,0
37,37,0x1B37E,0xE,0x7,0x3,0xB,0x1,0xB,5046880,7.34417699277e-05,0,0
38,37,0x1B77E,0xE,0x7,0x7,0xB,0x1,0xB,5046880,7.34417699277e-05,0,0
39,37,0x1BB7E,0xE,0x7,0xB,0xB,0x1,0xB,5046880,7.34417699277e-05,0,0
40,37,0x1BF7E,0xE,0x7,0xF,0xB,0x1,0xB,5046880,7.34417699277e-05,0,0
41,41,0xC737E,0xE,0x7,0x3,0x7,0xC,0xB,4982368,7.25029967725e-05,0,0
42,41,0xC777E,0xE,0x7,0x7,0x7,0xC,0xB,4982368,7.25029967725e-05,0,0
43,41,0xC7B7E,0xE,0x7,0xB,0x7,0xC,0xB,4982368,7.25029967725e-05,0,0
44,41,0xC7F7E,0xE,0x7,0xF,0x7,0xC,0xB,4982368,7.25029967725e-05,0,0
45,45,0x3B17E,0xE,0x7,0x1,0xB,0x3,0xB,4959360,7.2168186307e-05,0,0
46,45,0x3B57E,0xE,0x7,0x5,0xB,0x3,0xB,4959360,7.2168186307e-05,0,0
47,45,0x3B97E,0xE,0x7,0x9,0xB,0x3,0xB,4959360,7.2168186307e-05,0,0
48,45,0x3BD7E,0xE,0x7,0xD,0xB,0x3,0xB,4959360,7.2168186307e-05,0,0
49,49,0x3737F,0xF,0x7,0x3,0x7,0x3,0xB,4845152,7.05062411726e-05,0,0
50,49,0x3777F,0xF,0x7,0x7,0x7,0x3,0xB,4845152,7.05062411726e-05,0,0
51,49,0x37B7F,0xF,0x7,0xB,0x7,0x3,0xB,4845152,7.05062411726e-05,0,0
52,49,0x37F7F,0xF,0x7,0xF,0x7,0x3,0xB,4845152,7.05062411726e-05,0,0
53,53,0x3337E,0xE,0x7,0x3,0x3,0x3,0xB,4843872,7.04876147211e-05,0,0
54,53,0x3377E,0xE,0x7,0x7,0x3,0x3,0xB,4843872,7.04876147211e-05,0,0
55,53,0x33B7E,0xE,0x7,0xB,0x3,0x3,0xB,4843872,7.04876147211e-05,0,0
56,53,0x33F7E,0xE,0x7,0xF,0x3,0x3,0xB,4843872,7.04876147211e-05,0,0
57,57,0xC736E,0xE,0x6,0x3,0x7,0xC,0xA,4736256,6.89215958118e-05,0,0
58,57,0xC776E,0xE,0x6,0x7,0x7,0xC,0xA,4736256,6.89215958118e-05,0,0
59,57,0xC7B6E,0xE,0x6,0xB,0x7,0xC,0xA,4736256,6.89215958118e-05,0,0
60,57,0xC7F6E,0xE,0x6,0xF,0x7,0xC,0xA,4736256,6.89215958118e-05,0,0
61,61,0x3F37E,0xE,0x7,0x3,0xF,0x3,0xB,4697888,6.83632679284e-05,0,0
62,61,0x3F77E,0xE,0x7,0x7,0xF,0x3,0xB,4697888,6.83632679284e-05,0,0
63,61,0x3FB7E,0xE,0x7,0xB,0xF,0x3,0xB,4697888,6.83632679284e-05,0,0
