public_input,candidate_0x3B37E_word_C_0x3_contribution,candidate_0x3B77E_word_C_0x7_contribution,candidate_0x3BB7E_word_C_0xB_contribution,candidate_0x3BF7E_word_C_0xF_contribution
0x0,0x0,0x1,0x1,0x0
0x1,0x0,0x1,0x1,0x0
0x2,0x1,0x0,0x0,0x1
0x3,0x0,0x1,0x1,0x0
0x4,0x1,0x0,0x0,0x1
0x5,0x1,0x0,0x0,0x1
0x6,0x0,0x1,0x1,0x0
0x7,0x1,0x0,0x0,0x1
0x8,0x1,0x0,0x0,0x1
0x9,0x1,0x0,0x0,0x1
0xA,0x0,0x1,0x1,0x0
0xB,0x1,0x0,0x0,0x1
0xC,0x0,0x1,0x1,0x0
0xD,0x0,0x1,0x1,0x0
0xE,0x1,0x0,0x0,0x1
0xF,0x0,0x1,0x1,0x0
